codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-DoubleTrouble,sequential-d,REFERENCE,-1/1/-1/-1/-1/-1/-1/-1/,1/2/3/4/-1/5/-1/-1/,I/U/U/U/U/U/U/U/,68,75
carr-lane-2-DoubleTrouble,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,123,-1
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/-1/,1/2/3/-1/-1/4/-1/-1/,C/C/C/C/I/U/U/U/,130,147
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/-1/-1/4/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,155,168
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/,229,-1
carr-lane-2-DoubleTrouble,sequential-d,REFERENCE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,253,271
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/-1/5/6/7/,1/2/3/4/-1/5/-1/6/,C/C/C/C/I/U/U/U/,300,317
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/6/,1/2/3/4/6/5/8/7/,C/C/C/C/I/U/U/U/,330,350
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/6/5/8/7/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,375,395
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,403,-1
carr-lane-2-DoubleTrouble,sequential-d,REFERENCE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,439,-1
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,457,-1
carr-lane-2-DoubleTrouble,sequential-d,REFERENCE,1/2/3/4/6/5/7/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,474,488
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,551,568
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,583,601
carr-lane-2-DoubleTrouble,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,656,678
carr-lane-2-DoubleTrouble,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",7,8,0,692
carr-lane-2-DoubleTrouble,sequential-g,PUZZLE,1/-1/2/-1/-1/-1/-1/,1/-1/2/-1/-1/-1/-1/,C/I/U/U/U/U/U/,66,-1
carr-lane-2-DoubleTrouble,sequential-g,REFERENCE,1/-1/2/-1/-1/-1/-1/,1/2/3/-1/4/-1/-1/,C/I/U/U/U/U/U/,73,83
carr-lane-2-DoubleTrouble,sequential-g,PUZZLE,1/2/3/-1/4/-1/-1/,1/2/3/7/5/4/6/,C/C/C/I/U/U/U/,114,124
carr-lane-2-DoubleTrouble,sequential-g,PUZZLE,1/2/3/7/5/4/6/,1/2/3/7/6/4/5/,C/C/C/I/U/U/U/,153,167
carr-lane-2-DoubleTrouble,sequential-g,PUZZLE,1/2/3/7/6/4/5/,1/2/3/7/5/6/4/,C/C/C/I/U/U/U/,209,221
carr-lane-2-DoubleTrouble,sequential-g,PUZZLE,1/2/3/7/5/6/4/,1/2/3/7/5/6/4/,C/C/C/I/U/U/U/,243,-1
carr-lane-2-DoubleTrouble,sequential-g,REFERENCE,1/2/3/7/5/6/4/,1/2/3/4/6/5/7/,C/C/C/I/U/U/U/,261,275
carr-lane-2-DoubleTrouble,sequential-g,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/5/6/7/,C/C/C/C/I/U/U/,311,326
carr-lane-2-DoubleTrouble,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,343,362
carr-lane-2-DoubleTrouble,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,381
carr-lane-2-DoubleTrouble,dotogether-a,PUZZLE,1/2/3/4/6/7/5/8/,1/2/3/4/6/7/5/8/,C/C/C/C/C/C/C/C/,111,121
carr-lane-2-DoubleTrouble,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,134
