codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-CaptainAmazing,sequential-d,REFERENCE,-1/1/-1/-1/-1/-1/-1/-1/,-1/1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,57,-1
carr-lane-2-CaptainAmazing,sequential-d,REFERENCE,-1/1/-1/-1/-1/-1/-1/-1/,-1/1/2/3/-1/-1/-1/4/,I/U/U/U/U/U/U/U/,82,84
carr-lane-2-CaptainAmazing,sequential-d,REFERENCE,-1/1/2/3/-1/-1/-1/4/,-1/1/2/3/-1/-1/-1/4/,I/U/U/U/U/U/U/U/,135,155
carr-lane-2-CaptainAmazing,sequential-d,PUZZLE,-1/1/2/3/-1/-1/-1/4/,1/2/3/4/-1/-1/-1/5/,I/U/U/U/U/U/U/U/,167,173
carr-lane-2-CaptainAmazing,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/5/,1/2/3/4/-1/-1/5/6/,C/C/C/C/I/U/U/U/,189,205
carr-lane-2-CaptainAmazing,sequential-d,PUZZLE,1/2/3/4/-1/-1/5/6/,1/2/3/4/5/-1/6/7/,C/C/C/C/I/U/U/U/,220,235
carr-lane-2-CaptainAmazing,sequential-d,PUZZLE,1/2/3/4/5/-1/6/7/,1/2/3/4/6/-1/5/7/,C/C/C/C/C/I/U/U/,244,269
carr-lane-2-CaptainAmazing,sequential-d,PUZZLE,1/2/3/4/6/-1/5/7/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,283,287
carr-lane-2-CaptainAmazing,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,304,329
carr-lane-2-CaptainAmazing,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,346,363
carr-lane-2-CaptainAmazing,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",5,8,0,378
carr-lane-2-CaptainAmazing,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,I/U/U/U/U/U/U/,44,48
carr-lane-2-CaptainAmazing,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,81,91
carr-lane-2-CaptainAmazing,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,114,133
carr-lane-2-CaptainAmazing,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,7,0,138
carr-lane-2-CaptainAmazing,dotogether-a,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/4/-1/,C/C/I/U/U/U/U/U/,48,55
carr-lane-2-CaptainAmazing,dotogether-a,REFERENCE,1/2/3/-1/-1/-1/4/-1/,1/2/3/-1/5/6/4/7/,C/C/C/I/U/U/U/U/,88,95
carr-lane-2-CaptainAmazing,dotogether-a,PUZZLE,1/2/3/-1/5/6/4/7/,1/2/3/4/6/5/7/8/,C/C/C/I/U/U/U/U/,107,119
carr-lane-2-CaptainAmazing,dotogether-a,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/C/C/C/C/,150,162
carr-lane-2-CaptainAmazing,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,166
carr-lane-2-CaptainAmazing,dotogether-b,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/,C/I/U/U/U/U/,22,33
carr-lane-2-CaptainAmazing,dotogether-b,REFERENCE,1/2/4/3/-1/-1/,1/2/4/3/5/6/,C/C/C/C/I/U/,64,69
carr-lane-2-CaptainAmazing,dotogether-b,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,88,98
carr-lane-2-CaptainAmazing,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,103
carr-lane-2-CaptainAmazing,dotogether-m,PUZZLE,1/6/3/4/5/2/8/7/,1/6/3/4/5/2/8/7/,C/C/C/C/C/C/C/C/,64,79
carr-lane-2-CaptainAmazing,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",1,8,0,82
carr-lane-2-CaptainAmazing,dotogether-n,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/C/C/C/,51,60
carr-lane-2-CaptainAmazing,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,63
carr-lane-2-CaptainAmazing,dotogether-e,REFERENCE,1/-1/-1/3/-1/-1/-1/2/-1/,1/2/4/3/5/8/9/7/6/,C/I/U/U/U/U/U/U/U/,40,49
carr-lane-2-CaptainAmazing,dotogether-e,PUZZLE,1/2/4/3/5/8/9/7/6/,1/2/4/3/5/8/9/7/6/,C/C/C/C/C/C/C/I/I/,113,131
carr-lane-2-CaptainAmazing,dotogether-e,REFERENCE,1/2/4/3/5/8/9/7/6/,1/2/4/3/5/8/9/7/6/,C/C/C/C/C/C/C/I/I/,134,144
carr-lane-2-CaptainAmazing,dotogether-e,PUZZLE,1/2/4/3/5/8/9/7/6/,1/2/4/3/5/8/9/7/6/,C/C/C/C/C/C/C/C/I/,151,164
carr-lane-2-CaptainAmazing,dotogether-e,REFERENCE,1/2/4/3/5/8/9/7/6/,1/2/4/3/5/8/9/7/6/,C/C/C/C/C/C/C/C/I/,168,176
carr-lane-2-CaptainAmazing,dotogether-e,PUZZLE,1/2/4/3/5/8/9/7/6/,1/2/4/3/5/8/9/7/6/,C/C/C/C/C/C/C/C/C/,180,190
carr-lane-2-CaptainAmazing,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",3,9,0,197
carr-lane-2-CaptainAmazing,dotogether-c,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/,I/U/U/U/U/U/U/,16,22
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,55,63
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/6/5/7/,C/C/C/C/C/I/I/,69,75
carr-lane-2-CaptainAmazing,dotogether-c,REFERENCE,1/2/3/4/6/5/7/,1/2/3/4/6/5/7/,C/C/C/C/I/C/I/,83,90
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/3/4/6/5/7/,1/2/4/3/6/5/7/,C/C/C/C/I/C/U/,98,105
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/4/3/6/5/7/,1/2/4/5/3/6/7/,C/C/I/U/U/U/U/,112,119
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/4/5/3/6/7/,1/2/5/3/6/4/7/,C/C/I/U/U/U/U/,126,134
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/5/3/6/4/7/,1/2/5/3/4/6/7/,C/C/I/U/U/U/U/,165,178
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/5/3/4/6/7/,1/2/5/4/3/6/7/,C/C/I/U/U/U/U/,187,195
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/5/4/3/6/7/,1/2/3/4/5/6/7/,C/C/I/U/U/U/U/,199,209
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/I/I/,218,224
carr-lane-2-CaptainAmazing,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,231,246
carr-lane-2-CaptainAmazing,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",4,7,0,252
carr-lane-2-CaptainAmazing,dotogether-i,PUZZLE,1/2/3/4/5/8/7/6/9/10/,1/2/3/4/5/7/8/6/9/10/,C/C/C/C/C/I/U/U/U/U/,121,132
