codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-ShyLion,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,30,34
carr-lane-2-ShyLion,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,59,68
carr-lane-2-ShyLion,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/4/-1/-1/,C/C/I/U/U/U/U/U/,100,110
carr-lane-2-ShyLion,sequential-d,PUZZLE,1/2/3/-1/-1/4/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,135,150
carr-lane-2-ShyLion,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/,186,-1
carr-lane-2-ShyLion,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,208,221
carr-lane-2-ShyLion,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/6/5/-1/-1/,C/C/C/C/I/U/U/U/,256,272
carr-lane-2-ShyLion,sequential-d,PUZZLE,1/2/3/4/6/5/-1/-1/,1/2/3/4/6/5/-1/-1/,C/C/C/C/I/U/U/U/,293,-1
carr-lane-2-ShyLion,sequential-d,REFERENCE,1/2/3/4/6/5/-1/-1/,1/2/3/4/5/6/-1/-1/,C/C/C/C/I/U/U/U/,309,323
carr-lane-2-ShyLion,sequential-d,PUZZLE,1/2/3/4/5/6/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,352,365
carr-lane-2-ShyLion,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,393,412
carr-lane-2-ShyLion,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,421
carr-lane-2-ShyLion,dotogether-m,PUZZLE,1/-1/2/3/-1/-1/-1/-1/,1/-1/4/3/-1/2/-1/-1/,C/I/U/U/U/U/U/U/,55,66
carr-lane-2-ShyLion,dotogether-m,PUZZLE,1/-1/4/3/-1/2/-1/-1/,1/-1/4/3/5/2/-1/-1/,C/C/C/C/I/U/U/U/,90,101
