codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-CheeseMonkey,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,95,111
compton-drew-data-CheeseMonkey,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,6,0,162
compton-drew-data-CheeseMonkey,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,45,59
compton-drew-data-CheeseMonkey,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,65
compton-drew-data-CheeseMonkey,dotogether-a,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/4/6/5/7/,C/C/C/I/U/U/U/U/,44,56
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/4/6/5/7/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,73,83
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/4/5/6/7/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,118,131
compton-drew-data-CheeseMonkey,dotogether-a,REFERENCE,1/2/3/-1/4/5/6/7/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,144,-1
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/4/5/6/7/,1/2/3/-1/-1/4/-1/5/,C/C/C/I/U/U/U/U/,162,176
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/-1/4/-1/5/,1/2/3/-1/6/5/4/7/,C/C/C/I/U/U/U/U/,212,224
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/6/5/4/7/,1/2/3/-1/6/5/4/7/,C/C/C/I/U/U/U/U/,284,-1
compton-drew-data-CheeseMonkey,dotogether-a,REFERENCE,1/2/3/-1/6/5/4/7/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,295,311
compton-drew-data-CheeseMonkey,dotogether-a,REFERENCE,1/2/3/-1/4/5/6/7/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,373,393
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/4/5/6/7/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,412,-1
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/4/5/6/7/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,432,-1
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/4/5/6/7/,1/2/3/-1/4/6/5/7/,C/C/C/I/U/U/U/U/,433,442
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/4/6/5/7/,1/2/3/-1/-1/4/-1/5/,C/C/C/I/U/U/U/U/,497,512
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/-1/4/-1/5/,1/2/3/-1/6/4/5/7/,C/C/C/I/U/U/U/U/,542,555
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/-1/6/4/5/7/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,565,573
compton-drew-data-CheeseMonkey,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,606,617
compton-drew-data-CheeseMonkey,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",3,8,0,621
compton-drew-data-CheeseMonkey,dotogether-o,PUZZLE,1/3/2/4/5/6/7/8/,1/3/2/4/5/6/7/8/,C/I/U/U/U/U/U/U/,85,-1
compton-drew-data-CheeseMonkey,dotogether-o,PUZZLE,1/3/2/4/5/6/7/8/,1/3/2/4/5/6/7/8/,C/I/U/U/U/U/U/U/,94,-1
compton-drew-data-CheeseMonkey,dotogether-o,REFERENCE,1/3/2/4/5/6/7/8/,1/-1/2/3/4/-1/5/6/,C/I/U/U/U/U/U/U/,101,114
compton-drew-data-CheeseMonkey,dotogether-o,PUZZLE,1/-1/2/3/4/-1/5/6/,1/3/2/4/5/6/7/8/,C/I/U/U/U/U/U/U/,136,141
compton-drew-data-CheeseMonkey,dotogether-o,PUZZLE,1/3/2/4/5/6/7/8/,1/3/2/4/5/6/7/8/,C/I/U/U/U/U/U/U/,158,-1
compton-drew-data-CheeseMonkey,dotogether-o,REFERENCE,1/3/2/4/5/6/7/8/,1/3/2/4/5/6/7/8/,C/I/U/U/U/U/U/U/,165,-1
compton-drew-data-CheeseMonkey,dotogether-o,PUZZLE,1/3/2/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/I/U/U/U/U/U/U/,171,177
compton-drew-data-CheeseMonkey,dotogether-o,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,203,209
compton-drew-data-CheeseMonkey,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      Comment /
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    Comment /
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",3,8,0,216
compton-drew-data-CheeseMonkey,dotogether-m,REFERENCE,1/5/4/3/-1/2/-1/-1/,1/6/4/3/5/2/8/7/,C/C/C/C/I/U/U/U/,41,51
compton-drew-data-CheeseMonkey,dotogether-m,PUZZLE,1/6/4/3/5/2/8/7/,1/6/4/3/5/2/8/7/,C/C/C/C/C/C/C/C/,94,108
compton-drew-data-CheeseMonkey,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,114
compton-drew-data-CheeseMonkey,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,37,46
