codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-JuicyGlider,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/-1/5/6/,I/U/U/U/U/U/U/,111,113
girlsinc-2017-JuicyGlider,sequential-g,PUZZLE,1/2/3/4/-1/5/6/,1/2/3/4/-1/6/5/,C/C/C/C/I/U/U/,156,168
girlsinc-2017-JuicyGlider,sequential-g,REFERENCE,1/2/3/4/-1/6/5/,1/2/3/4/-1/5/6/,C/C/C/C/I/U/U/,171,185
girlsinc-2017-JuicyGlider,sequential-g,PUZZLE,1/2/3/4/-1/5/6/,1/2/3/4/-1/5/6/,C/C/C/C/I/U/U/,192,205
girlsinc-2017-JuicyGlider,sequential-g,REFERENCE,1/2/3/4/-1/5/6/,1/2/3/4/5/6/7/,C/C/C/C/I/U/U/,206,216
girlsinc-2017-JuicyGlider,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,222,236
girlsinc-2017-JuicyGlider,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,247
girlsinc-2017-JuicyGlider,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,I/U/U/U/U/U/,11,14
girlsinc-2017-JuicyGlider,sequential-c,REFERENCE,1/2/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,C/C/I/U/U/U/,23,29
girlsinc-2017-JuicyGlider,sequential-c,REFERENCE,1/2/-1/-1/-1/-1/,1/2/3/-1/4/-1/,C/C/I/U/U/U/,32,37
girlsinc-2017-JuicyGlider,sequential-c,REFERENCE,1/2/3/-1/4/-1/,1/2/3/6/4/5/,C/C/C/I/U/U/,43,53
girlsinc-2017-JuicyGlider,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/6/4/5/,C/C/C/I/U/U/,59,68
girlsinc-2017-JuicyGlider,sequential-c,REFERENCE,1/2/3/6/4/5/,1/2/3/6/4/5/,C/C/C/I/U/U/,70,79
girlsinc-2017-JuicyGlider,sequential-c,REFERENCE,1/2/3/6/4/5/,1/2/3/5/4/6/,C/C/C/I/U/U/,81,91
girlsinc-2017-JuicyGlider,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,97,-1
girlsinc-2017-JuicyGlider,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,108,118
girlsinc-2017-JuicyGlider,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,137,146
girlsinc-2017-JuicyGlider,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,159,170
girlsinc-2017-JuicyGlider,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",5,6,0,200
