codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-MadPuppy,sequential-c,PUZZLE,1/-1/-1/-1/-1/-1/,1/-1/-1/2/-1/-1/,C/I/U/U/U/U/,24,32
carr-lane-2-MadPuppy,sequential-c,REFERENCE,1/-1/-1/2/-1/-1/,1/-1/-1/2/-1/-1/,C/I/U/U/U/U/,44,-1
carr-lane-2-MadPuppy,sequential-c,PUZZLE,1/-1/-1/2/-1/-1/,1/2/-1/-1/-1/-1/,C/I/U/U/U/U/,50,55
carr-lane-2-MadPuppy,sequential-c,PUZZLE,1/2/-1/-1/-1/-1/,1/2/3/4/5/6/,C/C/I/U/U/U/,64,69
carr-lane-2-MadPuppy,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,88,99
carr-lane-2-MadPuppy,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",1,6,0,112
carr-lane-2-MadPuppy,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/3/-1/2/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,22,26
carr-lane-2-MadPuppy,sequential-d,PUZZLE,1/3/-1/2/-1/-1/-1/-1/,1/3/-1/2/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,48,-1
carr-lane-2-MadPuppy,sequential-d,REFERENCE,1/3/-1/2/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,56,71
carr-lane-2-MadPuppy,sequential-d,REFERENCE,1/2/4/3/-1/-1/-1/-1/,1/2/4/3/7/5/6/8/,C/C/I/U/U/U/U/U/,98,114
carr-lane-2-MadPuppy,sequential-d,PUZZLE,1/2/4/3/7/5/6/8/,1/2/3/4/7/5/6/8/,C/C/I/U/U/U/U/U/,141,149
carr-lane-2-MadPuppy,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/5/7/4/6/8/,C/C/C/C/I/U/U/U/,162,178
carr-lane-2-MadPuppy,sequential-d,PUZZLE,1/2/3/5/7/4/6/8/,1/2/3/4/7/5/6/8/,C/C/C/I/U/U/U/U/,199,214
carr-lane-2-MadPuppy,sequential-d,REFERENCE,1/2/3/4/7/5/6/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,222,233
carr-lane-2-MadPuppy,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,240,251
carr-lane-2-MadPuppy,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,265,278
carr-lane-2-MadPuppy,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,283,295
carr-lane-2-MadPuppy,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",6,8,0,301
carr-lane-2-MadPuppy,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,66,79
carr-lane-2-MadPuppy,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,83,93
carr-lane-2-MadPuppy,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,7,0,98
carr-lane-2-MadPuppy,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,66,75
carr-lane-2-MadPuppy,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,79
carr-lane-2-MadPuppy,dotogether-m,PUZZLE,1/2/4/3/5/6/8/7/,1/2/4/3/5/6/8/7/,C/C/C/C/C/C/C/C/,43,56
carr-lane-2-MadPuppy,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",1,8,0,62
carr-lane-2-MadPuppy,dotogether-b,PUZZLE,1/3/2/4/5/6/,1/2/5/3/4/6/,C/I/U/U/U/U/,79,83
