codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-FireFairy,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/4/-1/-1/-1/,C/C/I/U/U/U/U/U/,53,63
girlscouts-data-FireFairy,sequential-d,REFERENCE,1/2/3/-1/4/-1/-1/-1/,1/2/3/-1/4/5/6/-1/,C/C/C/I/U/U/U/U/,91,106
girlscouts-data-FireFairy,sequential-d,REFERENCE,1/2/3/-1/4/5/6/-1/,1/2/3/7/4/5/6/8/,C/C/C/I/U/U/U/U/,118,134
girlscouts-data-FireFairy,sequential-d,REFERENCE,1/2/3/7/4/5/6/8/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,146,161
girlscouts-data-FireFairy,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,167,183
girlscouts-data-FireFairy,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",3,8,0,190
girlscouts-data-FireFairy,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,27,35
girlscouts-data-FireFairy,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,C/I/U/U/U/U/,74,85
girlscouts-data-FireFairy,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,144,154
girlscouts-data-FireFairy,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,158
girlscouts-data-FireFairy,sequential-g,REFERENCE,1/2/-1/-1/3/-1/-1/,1/2/3/-1/4/-1/-1/,C/C/I/U/U/U/U/,25,37
girlscouts-data-FireFairy,sequential-g,REFERENCE,1/2/3/-1/4/-1/-1/,1/2/3/5/4/6/7/,C/C/C/I/U/U/U/,48,63
girlscouts-data-FireFairy,sequential-g,PUZZLE,1/2/3/5/4/6/7/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,74,92
girlscouts-data-FireFairy,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,96,110
girlscouts-data-FireFairy,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,114
girlscouts-data-FireFairy,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,51,59
girlscouts-data-FireFairy,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,63
girlscouts-data-FireFairy,dotogether-n,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/C/C/C/,46,56
girlscouts-data-FireFairy,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",2,6,0,60
girlscouts-data-FireFairy,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,40,48
girlscouts-data-FireFairy,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,53
girlscouts-data-FireFairy,dotogether-m,REFERENCE,1/-1/4/3/-1/2/-1/-1/,1/6/4/3/5/2/8/7/,C/C/C/C/I/U/U/U/,36,45
girlscouts-data-FireFairy,dotogether-m,PUZZLE,1/6/4/3/5/2/8/7/,1/6/4/3/5/2/8/7/,C/C/C/C/C/C/C/C/,59,70
girlscouts-data-FireFairy,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,74
girlscouts-data-FireFairy,dotogether-d,REFERENCE,1/-1/2/3/-1/-1/-1/-1/,1/5/4/3/2/7/8/6/,C/I/U/U/U/U/U/U/,46,54
girlscouts-data-FireFairy,dotogether-d,PUZZLE,1/5/4/3/2/7/8/6/,1/5/4/3/2/7/8/6/,C/C/C/C/C/C/C/C/,82,90
girlscouts-data-FireFairy,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",2,8,0,95
girlscouts-data-FireFairy,dotogether-o,PUZZLE,1/3/2/5/4/6/,3/1/2/4/5/6/,C/I/U/U/U/U/,38,43
girlscouts-data-FireFairy,dotogether-o,PUZZLE,3/1/2/4/5/6/,3/1/2/4/5/6/,I/U/U/U/U/U/,66,69
girlscouts-data-FireFairy,dotogether-o,PUZZLE,3/1/2/4/5/6/,3/1/2/4/5/6/,I/U/U/U/U/U/,90,-1
girlscouts-data-FireFairy,dotogether-o,REFERENCE,3/1/2/4/5/6/,1/-1/2/3/4/5/,I/U/U/U/U/U/,94,98
girlscouts-data-FireFairy,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/2/3/4/5/6/,C/I/U/U/U/U/,109,114
girlscouts-data-FireFairy,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,121,127
girlscouts-data-FireFairy,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",3,6,0,129
girlscouts-data-FireFairy,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/4/3/2/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,14,19
girlscouts-data-FireFairy,dotogether-e,REFERENCE,1/-1/4/3/2/-1/-1/-1/-1/,1/-1/4/3/2/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/U/,34,-1
girlscouts-data-FireFairy,dotogether-e,REFERENCE,1/-1/4/3/2/-1/-1/-1/-1/,1/5/4/3/2/9/6/8/7/,C/C/C/C/I/U/U/U/U/,46,54
girlscouts-data-FireFairy,dotogether-e,PUZZLE,1/5/4/3/2/9/6/8/7/,1/5/4/3/2/9/6/8/7/,C/C/C/C/C/C/C/C/C/,77,87
girlscouts-data-FireFairy,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",3,9,0,90
girlscouts-data-FireFairy,dotogether-c,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/5/6/7/,C/C/C/C/I/C/U/,37,43
girlscouts-data-FireFairy,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,49,57
girlscouts-data-FireFairy,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",3,7,0,59
girlscouts-data-FireFairy,dotogether-f,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/3/-1/2/4/-1/-1/,C/I/U/U/U/U/U/U/,25,31
girlscouts-data-FireFairy,dotogether-f,REFERENCE,1/-1/3/-1/2/4/-1/-1/,1/5/3/6/2/4/7/8/,C/C/C/I/I/U/U/U/,65,73
