codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-VanillaSailor,sequential-d,PUZZLE,1/2/3/6/5/7/4/8/,1/2/6/5/4/7/3/8/,C/C/C/I/U/U/U/U/,87,110
carr-lane-2-VanillaSailor,sequential-d,PUZZLE,1/2/6/5/4/7/3/8/,1/2/4/3/7/5/6/8/,C/C/I/U/U/U/U/U/,120,135
carr-lane-2-VanillaSailor,sequential-d,REFERENCE,1/2/4/3/7/5/6/8/,1/2/3/4/8/6/7/5/,C/C/I/U/U/U/U/U/,150,162
carr-lane-2-VanillaSailor,sequential-d,PUZZLE,1/2/3/4/8/6/7/5/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,187,201
carr-lane-2-VanillaSailor,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,211,227
carr-lane-2-VanillaSailor,sequential-d,REFERENCE,1/2/3/4/7/5/6/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,240,255
carr-lane-2-VanillaSailor,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/5/7/4/6/8/,C/C/C/C/I/U/U/U/,265,280
carr-lane-2-VanillaSailor,sequential-d,PUZZLE,1/2/3/5/7/4/6/8/,1/2/3/4/7/6/5/8/,C/C/C/I/U/U/U/U/,291,302
carr-lane-2-VanillaSailor,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,345,361
carr-lane-2-VanillaSailor,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,388,405
carr-lane-2-VanillaSailor,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",2,8,0,416
carr-lane-2-VanillaSailor,sequential-g,PUZZLE,1/3/2/4/5/7/6/,1/3/2/4/5/7/6/,C/I/U/U/U/U/U/,60,-1
carr-lane-2-VanillaSailor,sequential-g,REFERENCE,1/3/2/4/5/7/6/,1/2/3/4/5/7/6/,C/I/U/U/U/U/U/,72,78
carr-lane-2-VanillaSailor,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/7/6/,C/C/C/C/C/I/U/,86,-1
carr-lane-2-VanillaSailor,sequential-g,REFERENCE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,101,115
carr-lane-2-VanillaSailor,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,121,136
carr-lane-2-VanillaSailor,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,7,0,141
carr-lane-2-VanillaSailor,dotogether-a,PUZZLE,1/2/8/3/4/6/5/7/,1/2/8/3/4/6/5/7/,C/C/I/U/U/U/U/U/,71,-1
carr-lane-2-VanillaSailor,dotogether-a,REFERENCE,1/2/8/3/4/6/5/7/,1/2/3/4/5/6/7/8/,C/C/I/U/U/U/U/U/,81,91
carr-lane-2-VanillaSailor,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,101,111
carr-lane-2-VanillaSailor,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,115
carr-lane-2-VanillaSailor,dotogether-b,PUZZLE,1/3/4/5/2/6/,1/2/3/4/5/6/,C/I/U/U/U/U/,52,59
carr-lane-2-VanillaSailor,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,66,74
carr-lane-2-VanillaSailor,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,78
carr-lane-2-VanillaSailor,dotogether-m,PUZZLE,1/2/4/3/8/5/7/6/,1/2/4/3/8/5/7/6/,C/C/C/C/I/U/U/U/,56,-1
carr-lane-2-VanillaSailor,dotogether-m,REFERENCE,1/2/4/3/8/5/7/6/,1/2/4/3/5/6/8/7/,C/C/C/C/I/U/U/U/,68,79
carr-lane-2-VanillaSailor,dotogether-m,PUZZLE,1/2/4/3/5/6/8/7/,1/2/4/3/5/6/8/7/,C/C/C/C/C/C/C/C/,87,97
carr-lane-2-VanillaSailor,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",1,8,0,101
carr-lane-2-VanillaSailor,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,35,44
carr-lane-2-VanillaSailor,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,48
carr-lane-2-VanillaSailor,dotogether-e,REFERENCE,1/2/-1/-1/-1/-1/-1/3/-1/,1/2/3/4/7/8/9/6/5/,C/C/I/I/I/U/U/U/U/,36,43
carr-lane-2-VanillaSailor,dotogether-e,PUZZLE,1/2/3/4/7/8/9/6/5/,1/2/3/4/7/8/9/6/5/,C/C/C/C/I/U/U/U/U/,94,-1
carr-lane-2-VanillaSailor,dotogether-e,REFERENCE,1/2/3/4/7/8/9/6/5/,1/2/3/4/5/8/9/7/6/,C/C/C/C/I/U/U/U/U/,107,115
carr-lane-2-VanillaSailor,dotogether-e,REFERENCE,1/2/3/4/5/8/9/7/6/,1/2/3/4/5/8/9/7/6/,C/C/C/C/C/C/C/C/C/,125,-1
carr-lane-2-VanillaSailor,dotogether-e,PUZZLE,1/2/3/4/5/8/9/7/6/,1/2/3/4/5/8/9/7/6/,C/C/C/C/C/C/C/C/C/,136,146
carr-lane-2-VanillaSailor,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",1,9,0,149
