codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-MoonStone,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,85,98
compton-drew-data-MoonStone,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",1,6,0,117
compton-drew-data-MoonStone,dotogether-b,REFERENCE,2/1/3/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,90,-1
compton-drew-data-MoonStone,dotogether-b,PUZZLE,2/1/3/4/5/6/,3/1/2/4/5/6/,I/U/U/U/U/U/,101,103
compton-drew-data-MoonStone,dotogether-b,PUZZLE,3/1/2/4/5/6/,1/2/3/4/5/6/,I/U/U/U/U/U/,111,116
compton-drew-data-MoonStone,dotogether-b,REFERENCE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,162,-1
compton-drew-data-MoonStone,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,172,181
compton-drew-data-MoonStone,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,187
compton-drew-data-MoonStone,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,134,149
compton-drew-data-MoonStone,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,6,0,154
compton-drew-data-MoonStone,dotogether-a,PUZZLE,1/2/3/4/5/7/6/8/,1/2/3/4/5/7/6/8/,C/C/C/C/C/C/C/C/,80,89
compton-drew-data-MoonStone,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,94
compton-drew-data-MoonStone,dotogether-m,REFERENCE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/C/C/C/C/,65,-1
compton-drew-data-MoonStone,dotogether-m,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/C/C/C/C/,70,82
compton-drew-data-MoonStone,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",1,8,0,86
compton-drew-data-MoonStone,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,10,29
compton-drew-data-MoonStone,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,31,45
compton-drew-data-MoonStone,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/2/3/-1/6/4/5/7/,I/U/U/U/U/U/U/U/U/,52,63
compton-drew-data-MoonStone,dotogether-e,PUZZLE,1/-1/2/3/-1/6/4/5/7/,1/-1/3/2/-1/6/5/4/7/,C/I/U/U/U/U/U/U/U/,106,114
compton-drew-data-MoonStone,dotogether-e,PUZZLE,1/-1/3/2/-1/6/5/4/7/,1/-1/3/2/-1/6/5/4/7/,C/I/U/U/U/U/U/U/U/,127,-1
compton-drew-data-MoonStone,dotogether-e,REFERENCE,1/-1/3/2/-1/6/5/4/7/,1/2/4/3/5/8/7/6/9/,C/I/U/U/U/U/U/U/U/,136,151
compton-drew-data-MoonStone,dotogether-e,PUZZLE,1/2/4/3/5/8/7/6/9/,1/2/4/3/5/8/7/6/9/,C/C/C/C/C/C/C/C/C/,184,196
compton-drew-data-MoonStone,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",2,9,0,201
compton-drew-data-MoonStone,dotogether-d,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/C/C/C/C/,57,65
compton-drew-data-MoonStone,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",1,8,0,68
compton-drew-data-MoonStone,dotogether-i,REFERENCE,3/4/6/5/7/1/2/8/9/10/,3/4/6/5/7/1/2/8/9/10/,I/U/U/U/U/U/U/U/U/U/,109,-1
compton-drew-data-MoonStone,dotogether-i,PUZZLE,3/4/6/5/7/1/2/8/9/10/,2/3/5/4/8/6/1/7/9/10/,I/U/U/U/U/U/U/U/U/U/,112,119
compton-drew-data-MoonStone,dotogether-i,PUZZLE,2/3/5/4/8/6/1/7/9/10/,1/2/4/3/5/7/6/8/9/10/,I/U/U/U/U/U/U/U/U/U/,149,156
compton-drew-data-MoonStone,dotogether-i,PUZZLE,1/2/4/3/5/7/6/8/9/10/,1/2/4/3/5/6/8/7/9/10/,C/C/C/C/C/I/U/U/U/U/,203,213
compton-drew-data-MoonStone,dotogether-i,PUZZLE,1/2/4/3/5/6/8/7/9/10/,1/2/4/3/5/6/8/7/9/10/,C/C/C/C/C/C/C/C/C/C/,219,226
compton-drew-data-MoonStone,dotogether-i,END,"    this.tiny yeti.turnToFace(this.big yeti) /
    do together / {
      this.tiny yeti.nod() /
      this.big yeti.nod() /
    }
    this.tiny yeti.move(TypeExpression.BACKWARD, 0.5) /
    do together / {
      this.tiny yeti.jump to hammer() /
      this.big yeti.prepare to swing hammer() /
    }
    this.big yeti.power swing() /
    this.tiny yeti.fly away() /",2,10,0,231
compton-drew-data-MoonStone,dotogether-f,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/3/5/2/6/4/8/7/,I/U/U/U/U/U/U/U/,28,36
