codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-StingShadow,sequential-g,PUZZLE,-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,51,-1
carr-lane-1-StingShadow,sequential-g,PUZZLE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/-1/-1/,I/U/U/U/U/U/U/,61,77
carr-lane-1-StingShadow,sequential-g,REFERENCE,1/2/3/4/5/-1/-1/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,168,187
carr-lane-1-StingShadow,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,208,238
carr-lane-1-StingShadow,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,247
carr-lane-1-StingShadow,sequential-c,PUZZLE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,32,-1
carr-lane-1-StingShadow,sequential-c,PUZZLE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,36,39
carr-lane-1-StingShadow,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,62,77
carr-lane-1-StingShadow,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,170,-1
carr-lane-1-StingShadow,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,189,240
carr-lane-1-StingShadow,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,269,281
