codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-BearSmasher,sequential-d,REFERENCE,1/8/2/3/7/4/5/6/,1/8/2/3/7/4/5/6/,C/I/U/U/U/U/U/U/,188,-1
carr-lane-2-BearSmasher,sequential-d,PUZZLE,1/8/2/3/7/4/5/6/,1/8/2/3/7/4/5/6/,C/I/U/U/U/U/U/U/,204,-1
carr-lane-2-BearSmasher,sequential-d,REFERENCE,1/8/2/3/7/4/5/6/,1/8/2/3/7/4/5/6/,C/I/U/U/U/U/U/U/,224,-1
carr-lane-2-BearSmasher,sequential-d,PUZZLE,1/8/2/3/7/4/5/6/,1/2/3/4/8/5/6/7/,C/I/U/U/U/U/U/U/,228,231
carr-lane-2-BearSmasher,sequential-d,REFERENCE,1/2/3/4/8/5/6/7/,1/2/3/4/8/5/6/7/,C/C/C/C/I/U/U/U/,241,-1
carr-lane-2-BearSmasher,sequential-d,PUZZLE,1/2/3/4/8/5/6/7/,1/2/3/4/8/5/6/7/,C/C/C/C/I/U/U/U/,245,-1
carr-lane-2-BearSmasher,sequential-d,REFERENCE,1/2/3/4/8/5/6/7/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,264,280
carr-lane-2-BearSmasher,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,308,326
carr-lane-2-BearSmasher,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,340
carr-lane-2-BearSmasher,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/6/5/4/,I/U/U/U/U/U/,22,31
carr-lane-2-BearSmasher,sequential-c,REFERENCE,1/2/3/6/5/4/,1/2/3/6/5/4/,C/C/C/I/U/U/,78,-1
carr-lane-2-BearSmasher,sequential-c,PUZZLE,1/2/3/6/5/4/,1/2/3/6/4/5/,C/C/C/I/U/U/,89,101
carr-lane-2-BearSmasher,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/6/4/5/,C/C/C/I/U/U/,112,-1
carr-lane-2-BearSmasher,sequential-c,REFERENCE,1/2/3/6/4/5/,1/2/3/6/4/5/,C/C/C/I/U/U/,126,-1
carr-lane-2-BearSmasher,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/5/4/6/,C/C/C/I/U/U/,145,158
carr-lane-2-BearSmasher,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,167,-1
carr-lane-2-BearSmasher,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,176,190
carr-lane-2-BearSmasher,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,198,213
carr-lane-2-BearSmasher,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",4,6,0,219
carr-lane-2-BearSmasher,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/,I/U/U/U/U/U/U/,37,52
carr-lane-2-BearSmasher,sequential-g,REFERENCE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,89,-1
carr-lane-2-BearSmasher,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,105,118
carr-lane-2-BearSmasher,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,124
carr-lane-2-BearSmasher,dotogether-a,REFERENCE,1/3/2/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/I/U/U/U/U/U/U/,95,107
carr-lane-2-BearSmasher,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,117,129
carr-lane-2-BearSmasher,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,134
carr-lane-2-BearSmasher,dotogether-n,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,20,29
carr-lane-2-BearSmasher,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,75,84
carr-lane-2-BearSmasher,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,89
carr-lane-2-BearSmasher,dotogether-b,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,11,22
carr-lane-2-BearSmasher,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,93,102
carr-lane-2-BearSmasher,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,108
carr-lane-2-BearSmasher,dotogether-m,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/8/7/,C/C/C/C/C/C/C/C/,72,83
carr-lane-2-BearSmasher,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,87
carr-lane-2-BearSmasher,dotogether-o,PUZZLE,2/4/1/3/5/6/,2/4/1/3/5/6/,I/U/U/U/U/U/,52,-1
carr-lane-2-BearSmasher,dotogether-o,PUZZLE,2/4/1/3/5/6/,2/4/1/3/5/6/,I/U/U/U/U/U/,63,-1
carr-lane-2-BearSmasher,dotogether-o,REFERENCE,2/4/1/3/5/6/,1/4/2/3/5/6/,I/U/U/U/U/U/,65,68
carr-lane-2-BearSmasher,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,74,-1
carr-lane-2-BearSmasher,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,81,-1
carr-lane-2-BearSmasher,dotogether-o,REFERENCE,1/4/2/3/5/6/,1/2/3/4/5/6/,C/I/U/U/U/U/,85,94
carr-lane-2-BearSmasher,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,110,117
carr-lane-2-BearSmasher,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",3,6,0,121
carr-lane-2-BearSmasher,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/2/3/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,12,24
carr-lane-2-BearSmasher,dotogether-e,REFERENCE,1/-1/-1/2/3/-1/-1/-1/-1/,1/7/2/3/4/8/5/6/9/,C/I/U/U/U/U/U/U/U/,54,63
carr-lane-2-BearSmasher,dotogether-e,PUZZLE,1/7/2/3/4/8/5/6/9/,1/7/2/3/4/8/5/6/9/,C/I/U/U/U/U/U/U/U/,115,-1
carr-lane-2-BearSmasher,dotogether-e,REFERENCE,1/7/2/3/4/8/5/6/9/,1/5/3/4/2/8/6/7/9/,C/I/U/U/U/U/U/U/U/,124,132
carr-lane-2-BearSmasher,dotogether-e,PUZZLE,1/5/3/4/2/8/6/7/9/,1/5/3/4/2/8/6/7/9/,C/C/C/C/C/C/C/C/C/,324,339
carr-lane-2-BearSmasher,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",4,9,0,344
carr-lane-2-BearSmasher,dotogether-l,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/5/6/4/7/,I/U/U/U/U/U/U/,36,53
carr-lane-2-BearSmasher,dotogether-l,PUZZLE,1/2/3/5/6/4/7/,1/2/3/5/6/4/7/,C/C/C/C/C/C/C/,179,192
carr-lane-2-BearSmasher,dotogether-l,END,"    this.cheshireCat.say(Okay Alice, your turn now.) /
    this.alice.move(TypeExpression.BACKWARD, 1.0) /
    do together / {
      this.alice.move legs() /
      this.alice.move(TypeExpression.UP, 1.0) /
      this.alice.moveToward(this.cheshireCat, 3.0) /
    }
    this.alice.say(I'm stuck!) /",4,7,0,198
carr-lane-2-BearSmasher,dotogether-c,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/4/3/6/5/7/,I/U/U/U/U/U/U/,27,42
carr-lane-2-BearSmasher,dotogether-c,PUZZLE,1/2/4/3/6/5/7/,1/2/4/3/6/5/7/,C/C/I/U/U/U/U/,107,-1
carr-lane-2-BearSmasher,dotogether-c,REFERENCE,1/2/4/3/6/5/7/,1/2/3/4/6/5/7/,C/C/I/U/U/U/U/,121,131
carr-lane-2-BearSmasher,dotogether-c,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/5/6/7/,C/C/C/C/I/C/U/,142,154
carr-lane-2-BearSmasher,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,161,-1
carr-lane-2-BearSmasher,dotogether-c,REFERENCE,1/2/3/4/5/6/7/,1/2/4/5/3/6/7/,C/C/C/C/C/I/U/,173,181
carr-lane-2-BearSmasher,dotogether-c,PUZZLE,1/2/4/5/3/6/7/,1/2/3/5/4/6/7/,C/C/I/U/U/U/U/,191,199
carr-lane-2-BearSmasher,dotogether-c,PUZZLE,1/2/3/5/4/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,206,216
carr-lane-2-BearSmasher,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,223,-1
