codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-MoonStone,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/-1/-1/,C/I/U/U/U/U/U/,53,63
girlscouts-data-MoonStone,sequential-g,REFERENCE,1/2/3/4/5/-1/-1/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,95,109
girlscouts-data-MoonStone,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,118,133
girlscouts-data-MoonStone,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,143
girlscouts-data-MoonStone,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,44,54
girlscouts-data-MoonStone,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",3,6,0,59
girlscouts-data-MoonStone,dotogether-o,REFERENCE,1/4/2/3/-1/-1/,1/4/2/3/5/6/,C/I/U/U/U/U/,47,56
girlscouts-data-MoonStone,dotogether-o,PUZZLE,1/4/2/3/5/6/,2/1/3/4/6/5/,C/I/U/U/U/U/,65,70
girlscouts-data-MoonStone,dotogether-o,PUZZLE,2/1/3/4/6/5/,2/1/3/4/6/5/,I/U/U/U/U/U/,94,97
girlscouts-data-MoonStone,dotogether-o,REFERENCE,2/1/3/4/6/5/,2/1/3/4/6/5/,I/U/U/U/U/U/,104,-1
girlscouts-data-MoonStone,dotogether-o,REFERENCE,2/1/3/4/6/5/,2/1/3/4/5/6/,I/U/U/U/U/U/,114,123
girlscouts-data-MoonStone,dotogether-o,PUZZLE,2/1/3/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,142,-1
girlscouts-data-MoonStone,dotogether-o,PUZZLE,2/1/3/4/5/6/,1/2/3/4/5/6/,I/U/U/U/U/U/,151,153
girlscouts-data-MoonStone,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,163,172
