codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/3/6/-1/5/-1/4/,1/2/3/6/-1/4/-1/5/,C/C/C/I/U/U/U/U/,150,168
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/3/6/-1/4/-1/5/,1/2/4/6/-1/5/-1/3/,C/C/C/I/U/U/U/U/,212,226
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/4/6/-1/5/-1/3/,1/2/3/6/-1/5/-1/4/,C/C/I/U/U/U/U/U/,242,255
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/3/6/-1/5/-1/4/,1/2/3/6/-1/5/-1/4/,C/C/C/I/U/U/U/U/,278,-1
girlscouts-data-DreamWeaver,sequential-d,REFERENCE,1/2/3/6/-1/5/-1/4/,1/2/3/4/-1/5/-1/6/,C/C/C/I/U/U/U/U/,292,309
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/6/,1/2/3/4/-1/5/-1/6/,C/C/C/C/I/U/U/U/,327,-1
girlscouts-data-DreamWeaver,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/6/,1/2/3/4/-1/5/-1/6/,C/C/C/C/I/U/U/U/,348,367
girlscouts-data-DreamWeaver,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/6/,1/2/3/4/-1/6/5/7/,C/C/C/C/I/U/U/U/,378,395
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/3/4/-1/6/5/7/,1/2/3/4/5/6/-1/7/,C/C/C/C/I/U/U/U/,418,434
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/3/4/5/6/-1/7/,1/2/3/4/5/6/-1/7/,C/C/C/C/C/C/I/U/,455,474
girlscouts-data-DreamWeaver,sequential-d,REFERENCE,1/2/3/4/5/6/-1/7/,1/2/3/4/6/7/5/8/,C/C/C/C/C/C/I/U/,483,499
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/3/4/6/7/5/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,507,519
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,532,546
girlscouts-data-DreamWeaver,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,564,587
girlscouts-data-DreamWeaver,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",7,8,0,597
girlscouts-data-DreamWeaver,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,33,40
girlscouts-data-DreamWeaver,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,47,50
girlscouts-data-DreamWeaver,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,C/I/U/U/U/U/U/,59,66
girlscouts-data-DreamWeaver,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/7/6/,C/C/C/I/U/U/U/,87,98
girlscouts-data-DreamWeaver,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/7/6/,C/C/C/C/C/I/U/,122,-1
girlscouts-data-DreamWeaver,sequential-g,REFERENCE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,139,153
girlscouts-data-DreamWeaver,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,168,185
girlscouts-data-DreamWeaver,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,191
girlscouts-data-DreamWeaver,dotogether-a,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,1910,1915
girlscouts-data-DreamWeaver,dotogether-a,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,1931,1940
girlscouts-data-DreamWeaver,dotogether-a,PUZZLE,1/2/3/-1/4/5/6/7/,1/2/3/4/6/5/7/8/,C/C/C/I/U/U/U/U/,1999,2010
girlscouts-data-DreamWeaver,dotogether-a,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/C/C/C/C/,2038,2046
girlscouts-data-DreamWeaver,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",4,8,0,2055
girlscouts-data-DreamWeaver,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/,C/I/U/U/U/U/,31,35
girlscouts-data-DreamWeaver,sequential-c,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/5/4/6/,C/C/C/I/U/U/,49,60
girlscouts-data-DreamWeaver,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,80,90
girlscouts-data-DreamWeaver,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,107,120
girlscouts-data-DreamWeaver,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",4,6,0,129
girlscouts-data-DreamWeaver,dotogether-m,REFERENCE,1/-1/3/4/-1/2/-1/-1/,1/-1/3/4/-1/2/-1/-1/,C/C/C/C/I/U/U/U/,58,67
girlscouts-data-DreamWeaver,dotogether-m,REFERENCE,1/-1/3/4/-1/2/-1/-1/,1/6/3/4/5/2/8/7/,C/C/C/C/I/U/U/U/,78,87
girlscouts-data-DreamWeaver,dotogether-m,PUZZLE,1/6/3/4/5/2/8/7/,1/6/3/4/5/2/8/7/,C/C/C/C/C/C/C/C/,104,115
girlscouts-data-DreamWeaver,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,119
girlscouts-data-DreamWeaver,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,57,67
girlscouts-data-DreamWeaver,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",3,6,0,74
girlscouts-data-DreamWeaver,dotogether-e,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,21,27
girlscouts-data-DreamWeaver,dotogether-e,REFERENCE,1/2/4/3/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/U/,51,59
girlscouts-data-DreamWeaver,dotogether-e,REFERENCE,1/2/4/3/-1/-1/-1/-1/-1/,1/2/4/3/6/7/8/5/9/,C/C/C/C/I/U/U/U/U/,64,72
girlscouts-data-DreamWeaver,dotogether-e,PUZZLE,1/2/4/3/6/7/8/5/9/,1/2/4/3/6/7/8/5/9/,C/C/C/C/I/U/U/U/U/,98,109
girlscouts-data-DreamWeaver,dotogether-e,REFERENCE,1/2/4/3/6/7/8/5/9/,1/2/4/3/5/8/7/6/9/,C/C/C/C/I/U/U/U/U/,112,121
girlscouts-data-DreamWeaver,dotogether-e,PUZZLE,1/2/4/3/5/8/7/6/9/,1/2/4/3/5/8/7/6/9/,C/C/C/C/C/C/C/C/C/,143,154
girlscouts-data-DreamWeaver,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",6,9,0,158
girlscouts-data-DreamWeaver,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,64,77
girlscouts-data-DreamWeaver,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",3,6,0,82
girlscouts-data-DreamWeaver,dotogether-c,REFERENCE,1/2/-1/-1/-1/-1/-1/,1/2/4/3/5/6/7/,C/C/I/U/U/U/U/,43,54
girlscouts-data-DreamWeaver,dotogether-c,PUZZLE,1/2/4/3/5/6/7/,1/2/4/3/5/6/7/,C/C/I/U/U/U/U/,93,-1
girlscouts-data-DreamWeaver,dotogether-c,REFERENCE,1/2/4/3/5/6/7/,1/2/3/4/5/6/7/,C/C/I/U/U/U/U/,103,111
girlscouts-data-DreamWeaver,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,122,129
girlscouts-data-DreamWeaver,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,141,152
girlscouts-data-DreamWeaver,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",5,7,0,160
girlscouts-data-DreamWeaver,dotogether-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/5/3/4/2/8/7/6/,C/I/U/U/U/U/U/U/,20,26
girlscouts-data-DreamWeaver,dotogether-d,PUZZLE,1/5/3/4/2/8/7/6/,1/5/3/4/2/8/7/6/,C/C/C/C/C/C/C/C/,66,75
girlscouts-data-DreamWeaver,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",4,8,0,79
girlscouts-data-DreamWeaver,dotogether-l,PUZZLE,1/2/3/6/5/4/7/,1/2/3/6/5/4/7/,C/C/C/C/C/C/I/,59,68
girlscouts-data-DreamWeaver,dotogether-l,PUZZLE,1/2/3/6/5/4/7/,1/2/3/6/5/4/7/,C/C/C/C/C/C/C/,78,97
