codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-ShimmerFlitter,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,58,71
girlsinc-2017-ShimmerFlitter,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/1/-1/-1/-1/,I/U/U/U/U/U/,121,134
girlsinc-2017-ShimmerFlitter,sequential-c,REFERENCE,-1/-1/1/-1/-1/-1/,1/3/2/-1/-1/-1/,I/U/U/U/U/U/,168,174
girlsinc-2017-ShimmerFlitter,sequential-c,REFERENCE,1/3/2/-1/-1/-1/,1/2/3/4/5/6/,C/I/U/U/U/U/,200,210
girlsinc-2017-ShimmerFlitter,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,223,234
girlsinc-2017-ShimmerFlitter,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",6,6,0,245
girlsinc-2017-ShimmerFlitter,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,21,30
girlsinc-2017-ShimmerFlitter,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,C/I/U/U/U/U/U/,38,43
girlsinc-2017-ShimmerFlitter,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,C/C/C/I/U/U/U/,64,-1
girlsinc-2017-ShimmerFlitter,sequential-g,PUZZLE,1/2/3/-1/-1/-1/-1/,1/2/3/-1/4/-1/-1/,C/C/C/I/U/U/U/,72,80
girlsinc-2017-ShimmerFlitter,sequential-g,REFERENCE,1/2/3/-1/4/-1/-1/,1/2/3/4/5/7/6/,C/C/C/I/U/U/U/,96,108
girlsinc-2017-ShimmerFlitter,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,129,144
girlsinc-2017-ShimmerFlitter,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,150,162
girlsinc-2017-ShimmerFlitter,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",6,7,0,165
girlsinc-2017-ShimmerFlitter,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,13,-1
girlsinc-2017-ShimmerFlitter,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,32,35
girlsinc-2017-ShimmerFlitter,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,56,64
girlsinc-2017-ShimmerFlitter,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/4/-1/5/-1/6/,C/C/I/U/U/U/U/U/,73,85
girlsinc-2017-ShimmerFlitter,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/6/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,105,121
girlsinc-2017-ShimmerFlitter,sequential-d,PUZZLE,1/2/3/4/-1/5/6/7/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,141,-1
girlsinc-2017-ShimmerFlitter,sequential-d,REFERENCE,1/2/3/4/-1/5/6/7/,1/2/3/4/6/5/8/7/,C/C/C/C/I/U/U/U/,154,166
girlsinc-2017-ShimmerFlitter,sequential-d,PUZZLE,1/2/3/4/6/5/8/7/,1/2/3/4/5/6/8/7/,C/C/C/C/I/U/U/U/,180,192
girlsinc-2017-ShimmerFlitter,sequential-d,REFERENCE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/8/7/,C/C/C/C/C/C/I/U/,199,215
girlsinc-2017-ShimmerFlitter,sequential-d,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/8/7/,C/C/C/C/C/C/I/U/,224,240
girlsinc-2017-ShimmerFlitter,sequential-d,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,244,261
