codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/-1/-1/-1/3/-1/2/-1/,1/-1/-1/-1/3/-1/2/-1/,C/I/U/U/U/U/U/U/,57,-1
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/-1/-1/-1/3/-1/2/-1/,1/2/-1/-1/-1/-1/-1/3/,C/I/U/U/U/U/U/U/,72,76
carr-lane-2-TwinkleStorm,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/3/,1/2/-1/-1/-1/-1/-1/3/,C/C/I/U/U/U/U/U/,94,102
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/3/,1/2/-1/3/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,109,116
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/-1/3/-1/-1/-1/-1/,1/2/5/3/6/4/-1/-1/,C/C/I/U/U/U/U/U/,130,141
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/5/3/6/4/-1/-1/,1/2/4/3/6/5/-1/-1/,C/C/I/U/U/U/U/U/,163,176
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/4/3/6/5/-1/-1/,1/2/4/3/6/5/-1/-1/,C/C/I/U/U/U/U/U/,188,199
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/4/3/6/5/-1/-1/,1/2/4/3/6/5/-1/-1/,C/C/I/U/U/U/U/U/,208,-1
carr-lane-2-TwinkleStorm,sequential-d,REFERENCE,1/2/4/3/6/5/-1/-1/,1/2/4/3/6/5/-1/-1/,C/C/I/U/U/U/U/U/,220,-1
carr-lane-2-TwinkleStorm,sequential-d,REFERENCE,1/2/4/3/6/5/-1/-1/,1/2/4/3/6/5/-1/-1/,C/C/I/U/U/U/U/U/,224,238
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/4/3/6/5/-1/-1/,1/2/4/3/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,250,260
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/4/3/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,266,278
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/5/4/-1/-1/,C/C/C/I/U/U/U/U/,284,294
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/3/-1/5/4/-1/-1/,1/2/3/-1/6/5/-1/4/,C/C/C/I/U/U/U/U/,312,323
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/3/-1/6/5/-1/4/,1/2/3/4/6/5/-1/-1/,C/C/C/I/U/U/U/U/,331,342
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/3/4/6/5/-1/-1/,1/2/3/4/6/5/-1/-1/,C/C/C/C/I/U/U/U/,351,-1
carr-lane-2-TwinkleStorm,sequential-d,REFERENCE,1/2/3/4/6/5/-1/-1/,1/2/3/5/4/6/7/8/,C/C/C/C/I/U/U/U/,364,382
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/3/5/4/6/7/8/,1/2/3/5/4/6/7/8/,C/C/C/I/U/U/U/U/,398,-1
carr-lane-2-TwinkleStorm,sequential-d,REFERENCE,1/2/3/5/4/6/7/8/,1/2/3/5/4/6/7/8/,C/C/C/I/U/U/U/U/,414,-1
carr-lane-2-TwinkleStorm,sequential-d,REFERENCE,1/2/3/5/4/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,415,425
carr-lane-2-TwinkleStorm,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,433,449
carr-lane-2-TwinkleStorm,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",6,8,0,457
carr-lane-2-TwinkleStorm,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/4/3/5/-1/-1/,C/I/U/U/U/U/U/,30,36
carr-lane-2-TwinkleStorm,sequential-g,REFERENCE,1/2/4/3/5/-1/-1/,1/2/3/4/5/6/7/,C/C/I/U/U/U/U/,65,70
carr-lane-2-TwinkleStorm,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,86,103
carr-lane-2-TwinkleStorm,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,106
carr-lane-2-TwinkleStorm,dotogether-a,PUZZLE,1/2/3/4/5/7/6/8/,1/2/3/4/5/7/6/8/,C/C/C/C/C/C/C/C/,57,66
carr-lane-2-TwinkleStorm,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,71
carr-lane-2-TwinkleStorm,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,64,73
carr-lane-2-TwinkleStorm,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,77
carr-lane-2-TwinkleStorm,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,51,-1
carr-lane-2-TwinkleStorm,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,57,62
