codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-BabyCub,sequential-g,PUZZLE,1/2/3/4/6/5/,1/2/3/4/5/6/,C/C/C/C/I/U/,58,73
compton-drew-data-BabyCub,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,78,92
compton-drew-data-BabyCub,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,6,0,128
compton-drew-data-BabyCub,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,55,67
compton-drew-data-BabyCub,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,73,83
compton-drew-data-BabyCub,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,90
compton-drew-data-BabyCub,sequential-d,PUZZLE,1/3/4/2/6/5/7/8/,1/2/4/3/6/5/7/8/,C/I/U/U/U/U/U/U/,149,161
compton-drew-data-BabyCub,sequential-d,PUZZLE,1/2/4/3/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/I/U/U/U/U/U/,167,178
compton-drew-data-BabyCub,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,194,209
compton-drew-data-BabyCub,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,216,233
compton-drew-data-BabyCub,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.open slightly() /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",3,8,0,239
compton-drew-data-BabyCub,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,50,63
compton-drew-data-BabyCub,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",2,6,0,70
compton-drew-data-BabyCub,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,35,43
compton-drew-data-BabyCub,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,46
compton-drew-data-BabyCub,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,40,46
compton-drew-data-BabyCub,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",2,6,0,51
compton-drew-data-BabyCub,dotogether-m,PUZZLE,1/6/4/3/5/2/7/8/,1/6/4/3/5/2/7/8/,C/C/C/C/C/C/C/C/,63,73
compton-drew-data-BabyCub,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,80
compton-drew-data-BabyCub,dotogether-c,PUZZLE,1/2/3/5/4/6/7/,1/2/3/5/4/6/7/,C/C/C/C/C/C/C/,55,63
compton-drew-data-BabyCub,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",2,7,0,66
compton-drew-data-BabyCub,dotogether-d,REFERENCE,1/2/4/3/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/,30,39
compton-drew-data-BabyCub,dotogether-d,REFERENCE,1/2/4/3/-1/-1/-1/-1/,1/2/4/3/5/8/7/6/,C/C/C/C/I/U/U/U/,43,53
compton-drew-data-BabyCub,dotogether-d,PUZZLE,1/2/4/3/5/8/7/6/,1/2/4/3/5/8/7/6/,C/C/C/C/C/C/C/C/,76,83
compton-drew-data-BabyCub,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",3,8,0,90
compton-drew-data-BabyCub,dotogether-f,PUZZLE,1/5/3/4/2/6/8/7/,1/5/3/4/2/6/8/7/,C/C/C/C/C/C/C/C/,60,68
compton-drew-data-BabyCub,dotogether-f,END,"    this.Witch.say(I will turn you to stone!) /
    do together / {
      this.Ogre.move(TypeExpression.DOWN, 0.375) /
      this.Ogre.bend knees() /
    }
    do together / {
      this.Witch.cast spell() /
      this.Ogre.getRightShoulder().turn(TypeExpression.LEFT, 0.25) /
      this.Ogre.setPaint(InstanceCreation) /
    }",3,8,0,77
compton-drew-data-BabyCub,dotogether-l,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/6/5/7/,C/C/C/C/C/C/C/,43,54
compton-drew-data-BabyCub,dotogether-l,END,"    this.cheshireCat.say(Okay Alice, your turn now.) /
    this.alice.move(TypeExpression.BACKWARD, 1.0) /
    do together / {
      this.alice.move legs() /
      this.alice.move(TypeExpression.UP, 1.0) /
      this.alice.moveToward(this.cheshireCat, 3.0) /
    }
    this.alice.say(I'm stuck!) /",4,7,0,68
compton-drew-data-BabyCub,dotogether-j,REFERENCE,1/-1/-1/4/-1/5/2/-1/-1/3/-1/,1/7/9/4/5/6/2/10/8/3/11/,C/C/C/C/I/U/U/U/U/U/U/,51,61
compton-drew-data-BabyCub,dotogether-j,PUZZLE,1/7/9/4/5/6/2/10/8/3/11/,1/7/9/4/5/6/2/10/8/3/11/,C/C/C/C/C/C/C/C/C/C/C/,81,98
compton-drew-data-BabyCub,dotogether-j,END,"    this.fox.jump out of snow() /
    do together / {
      this.snow man.skate around() /
      this.snow gal.skate around() /
    }
    this.fox.wag tail() /
    this.fox.jump on(this.snow man) /
    do together / {
      this.snow gal.twirl around() /
      this.snow gal.raise up and lower down() /
      this.snow man.skate around() /
    }
    this.fox.dive into snow() /",4,11,0,107
compton-drew-data-BabyCub,dotogether-i,REFERENCE,1/-1/4/3/5/2/6/-1/-1/-1/,1/6/4/3/5/2/7/8/9/10/,C/C/C/C/C/I/U/U/U/U/,38,44
compton-drew-data-BabyCub,dotogether-i,PUZZLE,1/6/4/3/5/2/7/8/9/10/,1/6/4/3/5/2/7/8/9/10/,C/C/C/C/C/C/C/C/C/C/,68,79
compton-drew-data-BabyCub,dotogether-i,END,"    this.tiny yeti.turnToFace(this.big yeti) /
    do together / {
      this.tiny yeti.nod() /
      this.big yeti.nod() /
    }
    this.tiny yeti.move(TypeExpression.BACKWARD, 0.5) /
    do together / {
      this.tiny yeti.jump to hammer() /
      this.big yeti.prepare to swing hammer() /
    }
    this.big yeti.power swing() /
    this.tiny yeti.fly away() /",4,10,0,89
compton-drew-data-BabyCub,dotogether-h,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/3/4/-1/-1/-1/-1/2/-1/-1/-1/,I/U/U/U/U/U/U/U/U/U/U/U/,14,26
compton-drew-data-BabyCub,dotogether-h,PUZZLE,1/-1/3/4/-1/-1/-1/-1/2/-1/-1/-1/,1/-1/3/4/-1/-1/-1/-1/2/-1/-1/-1/,C/C/C/C/I/U/U/U/U/U/U/U/,243,250
compton-drew-data-BabyCub,dotogether-h,PUZZLE,1/-1/3/4/-1/-1/-1/-1/2/-1/-1/-1/,1/10/3/4/8/5/6/7/2/9/12/11/,C/C/C/C/I/U/U/U/U/U/U/U/,255,261
compton-drew-data-BabyCub,dotogether-h,PUZZLE,1/10/3/4/8/5/6/7/2/9/12/11/,1/10/3/4/5/6/7/8/2/9/12/11/,C/C/C/C/I/U/U/U/U/U/U/U/,308,316
compton-drew-data-BabyCub,dotogether-h,PUZZLE,1/10/3/4/5/6/7/8/2/9/12/11/,1/9/3/4/5/6/7/8/2/11/12/10/,C/C/C/C/C/C/C/C/I/U/U/U/,323,332
compton-drew-data-BabyCub,dotogether-h,PUZZLE,1/9/3/4/5/6/7/8/2/11/12/10/,1/9/3/4/5/6/7/8/2/11/12/10/,C/C/C/C/C/C/C/C/C/C/C/C/,337,346
compton-drew-data-BabyCub,dotogether-h,END,"    this.bunny.bend forward() /
    do together / {
      this.bunny.jump() /
      this.bunny.move(TypeExpression.FORWARD, 1.0) /
    }
    this.bunny.disappear() /
    do together / {
      this.hat.turn(TypeExpression.RIGHT, 2.0) /
      this.hat.move(TypeExpression.DOWN, 1.0) /
    }
    do together / {
      this.bunny.appear() /
      this.bunny.raise arms() /
      this.bunny.turn(TypeExpression.RIGHT, 2.25) /
    }",6,12,0,352
compton-drew-data-BabyCub,repeat-e,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,71,86
compton-drew-data-BabyCub,repeat-e,END,"    this.curupira.walk(2.0) /
    this.curupira.getNeck().turn(TypeExpression.FORWARD, 0.125) /
    this.curupira.think(Uh oh.) /
    this.curupira.move(TypeExpression.DOWN, 4.0) /
    this.mapinguari.place hands on belly() /
    count 3 / {
      this.mapinguari.laugh() /
    }",2,7,0,90
