codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-NightWalker,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,143,157
girlscouts-data-NightWalker,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,199,216
girlscouts-data-NightWalker,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,287,302
girlscouts-data-NightWalker,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,321,333
girlscouts-data-NightWalker,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,341
girlscouts-data-NightWalker,sequential-g,PUZZLE,1/5/3/2/4/6/7/,1/5/4/2/3/6/7/,C/I/U/U/U/U/U/,116,134
girlscouts-data-NightWalker,sequential-g,PUZZLE,1/5/4/2/3/6/7/,1/5/4/2/3/6/7/,C/I/U/U/U/U/U/,220,-1
girlscouts-data-NightWalker,sequential-g,REFERENCE,1/5/4/2/3/6/7/,1/2/3/-1/-1/-1/-1/,C/I/U/U/U/U/U/,248,258
girlscouts-data-NightWalker,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,320,332
girlscouts-data-NightWalker,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,357,374
girlscouts-data-NightWalker,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,384
girlscouts-data-NightWalker,dotogether-o,PUZZLE,3/4/1/2/5/6/,3/4/1/2/5/6/,I/U/U/U/U/U/,1994,-1
girlscouts-data-NightWalker,dotogether-o,PUZZLE,3/4/1/2/5/6/,3/4/1/2/5/6/,I/U/U/U/U/U/,2001,-1
girlscouts-data-NightWalker,dotogether-o,REFERENCE,3/4/1/2/5/6/,1/4/2/3/5/6/,I/U/U/U/U/U/,2010,2018
girlscouts-data-NightWalker,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,2052,-1
girlscouts-data-NightWalker,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,2064,-1
girlscouts-data-NightWalker,dotogether-o,REFERENCE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,2081,-1
girlscouts-data-NightWalker,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/2/3/4/5/6/,C/I/U/U/U/U/,2087,2093
girlscouts-data-NightWalker,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,2152,2162
girlscouts-data-NightWalker,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",4,6,0,2169
girlscouts-data-NightWalker,sequential-d,PUZZLE,1/2/4/3/7/5/6/8/,1/2/4/3/7/5/6/8/,C/C/I/U/U/U/U/U/,133,143
girlscouts-data-NightWalker,sequential-d,REFERENCE,1/2/4/3/7/5/6/8/,1/2/3/4/6/5/7/8/,C/C/I/U/U/U/U/U/,148,165
girlscouts-data-NightWalker,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/,215,235
girlscouts-data-NightWalker,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/5/4/-1/-1/,C/C/C/I/U/U/U/U/,308,336
girlscouts-data-NightWalker,sequential-d,REFERENCE,1/2/3/-1/5/4/-1/-1/,1/2/3/6/5/4/7/8/,C/C/C/I/U/U/U/U/,368,386
girlscouts-data-NightWalker,sequential-d,PUZZLE,1/2/3/6/5/4/7/8/,1/2/3/6/5/4/7/8/,C/C/C/I/U/U/U/U/,414,-1
girlscouts-data-NightWalker,sequential-d,REFERENCE,1/2/3/6/5/4/7/8/,1/2/3/4/7/5/6/8/,C/C/C/I/U/U/U/U/,434,450
girlscouts-data-NightWalker,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,530,547
girlscouts-data-NightWalker,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,624,-1
girlscouts-data-NightWalker,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/-1/6/5/-1/,C/C/C/C/I/U/U/U/,640,658
girlscouts-data-NightWalker,sequential-d,REFERENCE,1/2/3/4/-1/6/5/-1/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,741,763
girlscouts-data-NightWalker,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,788,-1
girlscouts-data-NightWalker,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,802,821
girlscouts-data-NightWalker,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,832,851
girlscouts-data-NightWalker,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",6,8,0,858
