codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-VelvetPrancer,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,55,73
carr-lane-1-VelvetPrancer,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,110,119
carr-lane-1-VelvetPrancer,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/7/5/6/8/,C/C/C/I/U/U/U/U/,133,154
carr-lane-1-VelvetPrancer,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/5/7/4/6/8/,C/C/C/C/I/U/U/U/,198,220
carr-lane-1-VelvetPrancer,sequential-d,PUZZLE,1/2/3/5/7/4/6/8/,1/2/3/4/7/5/6/8/,C/C/C/I/U/U/U/U/,234,252
carr-lane-1-VelvetPrancer,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,263,279
carr-lane-1-VelvetPrancer,sequential-d,REFERENCE,1/2/3/4/7/5/6/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,281,296
carr-lane-1-VelvetPrancer,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,332,346
carr-lane-1-VelvetPrancer,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,368,387
carr-lane-1-VelvetPrancer,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,398
carr-lane-1-VelvetPrancer,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/6/4/5/,C/C/C/I/U/U/,68,-1
carr-lane-1-VelvetPrancer,sequential-c,REFERENCE,1/2/3/6/4/5/,1/2/3/5/4/6/,C/C/C/I/U/U/,84,108
