codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-BrightSky,sequential-g,PUZZLE,1/2/7/5/3/6/4/,1/2/7/5/3/6/4/,C/C/I/U/U/U/U/,191,-1
girlscouts-data-BrightSky,sequential-g,REFERENCE,1/2/7/5/3/6/4/,1/2/3/5/4/6/7/,C/C/I/U/U/U/U/,212,235
girlscouts-data-BrightSky,sequential-g,PUZZLE,1/2/3/5/4/6/7/,1/2/3/5/4/6/7/,C/C/C/I/U/U/U/,275,-1
girlscouts-data-BrightSky,sequential-g,REFERENCE,1/2/3/5/4/6/7/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,293,303
girlscouts-data-BrightSky,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,309,-1
girlscouts-data-BrightSky,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,325,-1
girlscouts-data-BrightSky,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,326,345
girlscouts-data-BrightSky,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",6,7,0,359
girlscouts-data-BrightSky,sequential-c,PUZZLE,2/3/1/4/5/6/,2/3/1/4/5/6/,I/U/U/U/U/U/,68,-1
girlscouts-data-BrightSky,sequential-c,REFERENCE,2/3/1/4/5/6/,1/3/2/4/5/6/,I/U/U/U/U/U/,79,85
girlscouts-data-BrightSky,sequential-c,PUZZLE,1/3/2/4/5/6/,1/2/3/4/5/6/,C/I/U/U/U/U/,89,97
girlscouts-data-BrightSky,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,103,115
girlscouts-data-BrightSky,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,122
girlscouts-data-BrightSky,sequential-d,PUZZLE,1/3/4/2/6/5/7/8/,1/3/4/2/6/5/7/8/,C/I/U/U/U/U/U/U/,73,-1
girlscouts-data-BrightSky,sequential-d,REFERENCE,1/3/4/2/6/5/7/8/,1/2/3/4/7/5/8/6/,C/I/U/U/U/U/U/U/,92,114
girlscouts-data-BrightSky,sequential-d,PUZZLE,1/2/3/4/7/5/8/6/,1/2/3/4/5/6/8/7/,C/C/C/C/I/U/U/U/,154,173
girlscouts-data-BrightSky,sequential-d,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,199,216
girlscouts-data-BrightSky,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,221,240
girlscouts-data-BrightSky,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",5,8,0,249
girlscouts-data-BrightSky,dotogether-b,PUZZLE,2/1/3/4/5/6/,1/-1/3/2/4/5/,I/U/U/U/U/U/,1961,1975
girlscouts-data-BrightSky,dotogether-b,PUZZLE,1/-1/3/2/4/5/,1/2/4/3/5/6/,C/I/U/U/U/U/,1986,1997
girlscouts-data-BrightSky,dotogether-b,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,2006,2017
girlscouts-data-BrightSky,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,2020
girlscouts-data-BrightSky,dotogether-m,PUZZLE,1/6/4/3/5/2/8/7/,1/6/4/3/5/2/8/7/,C/C/C/C/C/C/C/C/,67,78
girlscouts-data-BrightSky,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",1,8,0,83
girlscouts-data-BrightSky,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,70,85
girlscouts-data-BrightSky,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,108,120
girlscouts-data-BrightSky,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",3,8,0,125
girlscouts-data-BrightSky,dotogether-o,PUZZLE,1/3/2/4/5/6/,1/3/2/4/5/6/,C/I/U/U/U/U/,52,-1
girlscouts-data-BrightSky,dotogether-o,REFERENCE,1/3/2/4/5/6/,2/3/1/4/5/6/,C/I/U/U/U/U/,60,71
girlscouts-data-BrightSky,dotogether-o,PUZZLE,2/3/1/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,83,89
girlscouts-data-BrightSky,dotogether-o,PUZZLE,2/1/3/4/5/6/,3/1/2/4/5/6/,I/U/U/U/U/U/,109,115
girlscouts-data-BrightSky,dotogether-o,PUZZLE,3/1/2/4/5/6/,1/2/3/4/5/6/,I/U/U/U/U/U/,119,125
girlscouts-data-BrightSky,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,137,144
girlscouts-data-BrightSky,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",5,6,0,149
girlscouts-data-BrightSky,dotogether-e,PUZZLE,1/7/4/3/2/9/8/5/6/,1/7/4/3/2/9/8/6/5/,C/C/C/C/I/U/U/U/U/,84,96
girlscouts-data-BrightSky,dotogether-e,PUZZLE,1/7/4/3/2/9/8/6/5/,1/5/4/3/2/9/8/7/6/,C/C/C/C/I/U/U/U/U/,101,116
