codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-AlmondSparkles,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,12,17
girlsinc-2017-AlmondSparkles,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/,C/I/U/U/U/U/,34,39
girlsinc-2017-AlmondSparkles,sequential-c,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/4/5/6/,C/C/C/I/U/U/,52,62
girlsinc-2017-AlmondSparkles,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,72,82
girlsinc-2017-AlmondSparkles,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",1,6,0,87
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,14,24
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,46,50
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/3/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,60,65
girlsinc-2017-AlmondSparkles,sequential-d,PUZZLE,1/2/-1/3/-1/-1/-1/-1/,1/2/-1/3/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,81,89
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/2/-1/3/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,91,99
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/2/4/3/-1/-1/-1/-1/,1/2/4/3/-1/6/-1/5/,C/C/I/U/U/U/U/U/,102,119
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/2/4/3/-1/6/-1/5/,1/2/4/3/6/7/8/5/,C/C/I/U/U/U/U/U/,136,147
girlsinc-2017-AlmondSparkles,sequential-d,PUZZLE,1/2/4/3/6/7/8/5/,1/2/4/3/5/6/7/-1/,C/C/I/U/U/U/U/U/,156,173
girlsinc-2017-AlmondSparkles,sequential-d,PUZZLE,1/2/4/3/5/6/7/-1/,1/2/4/3/5/6/7/-1/,C/C/I/U/U/U/U/U/,180,187
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/2/4/3/5/6/7/-1/,1/2/3/-1/4/5/6/-1/,C/C/I/U/U/U/U/U/,192,199
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/2/3/-1/4/5/6/-1/,1/2/3/5/4/6/7/8/,C/C/C/I/U/U/U/U/,204,214
girlsinc-2017-AlmondSparkles,sequential-d,PUZZLE,1/2/3/5/4/6/7/8/,1/2/3/5/4/6/7/8/,C/C/C/I/U/U/U/U/,220,232
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/2/3/5/4/6/7/8/,1/2/3/5/4/6/7/8/,C/C/C/I/U/U/U/U/,233,241
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/2/3/5/4/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,242,256
girlsinc-2017-AlmondSparkles,sequential-d,REFERENCE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,258,272
girlsinc-2017-AlmondSparkles,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",6,8,0,278
girlsinc-2017-AlmondSparkles,sequential-g,REFERENCE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,53,-1
girlsinc-2017-AlmondSparkles,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,65,78
girlsinc-2017-AlmondSparkles,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,82
girlsinc-2017-AlmondSparkles,dotogether-b,REFERENCE,2/-1/1/-1/-1/-1/,3/2/1/4/5/6/,I/U/U/U/U/U/,33,37
