codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-SnowStorm,sequential-g,PUZZLE,1/3/2/5/4/7/6/,1/2/5/4/3/7/6/,C/I/U/U/U/U/U/,107,116
girlscouts-data-SnowStorm,sequential-g,PUZZLE,1/2/5/4/3/7/6/,1/2/7/4/3/6/5/,C/C/I/U/U/U/U/,122,135
girlscouts-data-SnowStorm,sequential-g,PUZZLE,1/2/7/4/3/6/5/,1/2/7/4/3/6/5/,C/C/I/U/U/U/U/,143,151
girlscouts-data-SnowStorm,sequential-g,REFERENCE,1/2/7/4/3/6/5/,1/2/3/4/5/7/6/,C/C/I/U/U/U/U/,154,162
girlscouts-data-SnowStorm,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,178,191
girlscouts-data-SnowStorm,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,198,213
girlscouts-data-SnowStorm,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,239
girlscouts-data-SnowStorm,dotogether-b,REFERENCE,-1/1/-1/-1/-1/-1/,1/2/4/3/5/6/,I/U/U/U/U/U/,41,45
girlscouts-data-SnowStorm,dotogether-b,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,78,87
girlscouts-data-SnowStorm,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,91
girlscouts-data-SnowStorm,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,53,-1
girlscouts-data-SnowStorm,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,61,-1
girlscouts-data-SnowStorm,dotogether-o,REFERENCE,1/4/2/3/5/6/,3/1/2/4/5/6/,C/I/U/U/U/U/,64,70
girlscouts-data-SnowStorm,dotogether-o,PUZZLE,3/1/2/4/5/6/,1/2/3/4/5/6/,I/U/U/U/U/U/,97,102
girlscouts-data-SnowStorm,dotogether-o,REFERENCE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,109,114
girlscouts-data-SnowStorm,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,120,129
girlscouts-data-SnowStorm,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",4,6,0,135
girlscouts-data-SnowStorm,dotogether-m,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/8/7/,C/C/C/C/C/C/C/C/,72,83
