codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-MagicPotions,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,272,283
compton-drew-data-MagicPotions,sequential-g,REFERENCE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,332,-1
compton-drew-data-MagicPotions,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,347,359
compton-drew-data-MagicPotions,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,6,0,365
compton-drew-data-MagicPotions,dotogether-b,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,42,-1
compton-drew-data-MagicPotions,dotogether-b,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,53,-1
compton-drew-data-MagicPotions,dotogether-b,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/2/3/4/5/,C/I/U/U/U/U/,55,63
compton-drew-data-MagicPotions,dotogether-b,PUZZLE,1/-1/2/3/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,93,104
compton-drew-data-MagicPotions,dotogether-b,PUZZLE,1/-1/3/2/4/5/,1/2/4/3/5/6/,C/I/U/U/U/U/,111,116
compton-drew-data-MagicPotions,dotogether-b,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,125,134
compton-drew-data-MagicPotions,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,139
compton-drew-data-MagicPotions,dotogether-o,PUZZLE,1/3/2/5/4/6/,1/3/2/5/4/6/,C/I/U/U/U/U/,96,-1
compton-drew-data-MagicPotions,dotogether-o,REFERENCE,1/3/2/5/4/6/,2/1/3/5/4/6/,C/I/U/U/U/U/,105,109
compton-drew-data-MagicPotions,dotogether-o,PUZZLE,2/1/3/5/4/6/,1/2/3/5/4/6/,I/U/U/U/U/U/,122,126
compton-drew-data-MagicPotions,dotogether-o,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/I/U/,133,137
compton-drew-data-MagicPotions,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/I/U/,149,153
compton-drew-data-MagicPotions,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,157,164
compton-drew-data-MagicPotions,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",2,6,0,166
compton-drew-data-MagicPotions,dotogether-m,PUZZLE,2/-1/3/4/-1/1/-1/-1/,2/-1/3/4/-1/1/-1/-1/,I/U/U/U/U/U/U/U/,74,78
compton-drew-data-MagicPotions,dotogether-m,PUZZLE,2/-1/3/4/-1/1/-1/-1/,2/-1/3/4/-1/1/-1/-1/,I/U/U/U/U/U/U/U/,83,-1
compton-drew-data-MagicPotions,dotogether-m,REFERENCE,2/-1/3/4/-1/1/-1/-1/,1/6/3/4/5/2/8/7/,I/U/U/U/U/U/U/U/,88,94
compton-drew-data-MagicPotions,dotogether-m,PUZZLE,1/6/3/4/5/2/8/7/,1/6/3/4/5/2/8/7/,C/C/C/C/C/C/C/C/,119,130
compton-drew-data-MagicPotions,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,134
compton-drew-data-MagicPotions,dotogether-e,PUZZLE,1/2/4/3/6/9/7/5/8/,1/2/4/3/7/9/8/5/6/,C/C/C/C/I/U/U/U/U/,67,77
compton-drew-data-MagicPotions,dotogether-e,PUZZLE,1/2/4/3/7/9/8/5/6/,1/2/4/3/7/9/8/6/5/,C/C/C/C/I/U/U/U/U/,83,94
compton-drew-data-MagicPotions,dotogether-e,PUZZLE,1/2/4/3/7/9/8/6/5/,1/2/4/3/5/9/8/7/6/,C/C/C/C/I/U/U/U/U/,99,107
compton-drew-data-MagicPotions,dotogether-e,PUZZLE,1/2/4/3/5/9/8/7/6/,1/2/4/3/5/9/8/7/6/,C/C/C/C/C/C/C/I/I/,125,136
compton-drew-data-MagicPotions,dotogether-e,REFERENCE,1/2/4/3/5/9/8/7/6/,1/2/4/3/5/9/8/7/6/,C/C/C/C/C/C/C/I/I/,145,-1
compton-drew-data-MagicPotions,dotogether-e,REFERENCE,1/2/4/3/5/9/8/7/6/,1/2/4/3/6/9/8/5/7/,C/C/C/C/C/C/C/I/I/,210,221
compton-drew-data-MagicPotions,dotogether-e,PUZZLE,1/2/4/3/6/9/8/5/7/,1/2/4/3/6/9/8/5/7/,C/C/C/C/I/U/U/U/U/,230,-1
compton-drew-data-MagicPotions,dotogether-e,REFERENCE,1/2/4/3/6/9/8/5/7/,1/2/4/3/5/9/8/6/7/,C/C/C/C/I/U/U/U/U/,242,251
compton-drew-data-MagicPotions,dotogether-e,PUZZLE,1/2/4/3/5/9/8/6/7/,1/2/4/3/5/9/8/6/7/,C/C/C/C/C/C/C/C/C/,276,286
compton-drew-data-MagicPotions,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",3,9,0,289
compton-drew-data-MagicPotions,dotogether-c,PUZZLE,1/2/3/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,C/C/C/I/I/U/U/,96,-1
compton-drew-data-MagicPotions,dotogether-c,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/6/7/,C/C/C/I/I/U/U/,102,109
compton-drew-data-MagicPotions,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,134,145
compton-drew-data-MagicPotions,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",1,7,0,314
compton-drew-data-MagicPotions,dotogether-f,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/3/-1/-1/,I/U/U/U/U/U/U/U/,14,26
compton-drew-data-MagicPotions,dotogether-f,PUZZLE,1/2/-1/-1/-1/3/-1/-1/,1/2/-1/-1/-1/3/-1/-1/,C/C/I/I/I/U/U/U/,55,63
compton-drew-data-MagicPotions,dotogether-f,REFERENCE,1/2/-1/-1/-1/3/-1/-1/,1/2/-1/-1/-1/3/-1/-1/,C/C/I/I/I/U/U/U/,68,-1
compton-drew-data-MagicPotions,dotogether-f,REFERENCE,1/2/-1/-1/-1/3/-1/-1/,1/3/-1/2/-1/4/-1/-1/,C/C/I/I/I/U/U/U/,79,89
compton-drew-data-MagicPotions,dotogether-f,REFERENCE,1/3/-1/2/-1/4/-1/-1/,1/3/-1/2/-1/4/-1/-1/,C/I/U/U/U/U/U/U/,102,-1
