codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-BlueBraid,sequential-c,REFERENCE,1/2/-1/-1/-1/-1/,1/2/3/5/4/6/,C/C/I/U/U/U/,28,33
girlsinc-2017-BlueBraid,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,44,-1
girlsinc-2017-BlueBraid,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/6/4/5/,C/C/C/I/U/U/,51,61
girlsinc-2017-BlueBraid,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/6/4/5/,C/C/C/I/U/U/,68,79
girlsinc-2017-BlueBraid,sequential-c,REFERENCE,1/2/3/6/4/5/,1/2/3/-1/4/5/,C/C/C/I/U/U/,81,92
girlsinc-2017-BlueBraid,sequential-c,REFERENCE,1/2/3/-1/4/5/,1/2/3/-1/4/5/,C/C/C/I/U/U/,94,-1
girlsinc-2017-BlueBraid,sequential-c,PUZZLE,1/2/3/-1/4/5/,1/2/3/-1/4/5/,C/C/C/I/U/U/,96,-1
girlsinc-2017-BlueBraid,sequential-c,REFERENCE,1/2/3/-1/4/5/,1/2/3/4/5/6/,C/C/C/I/U/U/,104,116
girlsinc-2017-BlueBraid,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,131,140
girlsinc-2017-BlueBraid,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,149
girlsinc-2017-BlueBraid,dotogether-b,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,C/I/U/U/U/U/,13,16
girlsinc-2017-BlueBraid,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,34,42
girlsinc-2017-BlueBraid,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,44
girlsinc-2017-BlueBraid,dotogether-o,REFERENCE,-1/-1/1/-1/-1/-1/,-1/-1/1/-1/-1/-1/,I/U/U/U/U/U/,20,24
girlsinc-2017-BlueBraid,dotogether-o,REFERENCE,-1/-1/1/-1/-1/-1/,-1/2/1/3/4/-1/,I/U/U/U/U/U/,25,28
girlsinc-2017-BlueBraid,dotogether-o,PUZZLE,-1/2/1/3/4/-1/,1/3/2/4/5/6/,I/U/U/U/U/U/,40,42
girlsinc-2017-BlueBraid,dotogether-o,PUZZLE,1/3/2/4/5/6/,1/2/3/4/5/6/,C/I/U/U/U/U/,47,52
girlsinc-2017-BlueBraid,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/I/U/,56,59
girlsinc-2017-BlueBraid,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,63,69
girlsinc-2017-BlueBraid,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",2,6,0,74
girlsinc-2017-BlueBraid,dotogether-m,PUZZLE,1/6/3/4/5/2/7/8/,1/6/3/4/5/2/7/8/,C/C/C/C/C/C/C/C/,28,38
girlsinc-2017-BlueBraid,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,40
girlsinc-2017-BlueBraid,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,19,26
girlsinc-2017-BlueBraid,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,28
girlsinc-2017-BlueBraid,dotogether-a,REFERENCE,1/-1/2/3/4/5/6/-1/,1/2/3/4/5/6/7/8/,C/I/U/U/U/U/U/U/,34,38
girlsinc-2017-BlueBraid,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,43,50
girlsinc-2017-BlueBraid,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,52
girlsinc-2017-BlueBraid,dotogether-e,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,17,22
girlsinc-2017-BlueBraid,dotogether-e,REFERENCE,1/2/3/4/-1/-1/-1/-1/-1/,1/2/3/4/6/8/7/5/9/,C/C/C/C/I/U/U/U/U/,29,36
girlsinc-2017-BlueBraid,dotogether-e,PUZZLE,1/2/3/4/6/8/7/5/9/,1/2/3/4/6/8/7/5/9/,C/C/C/C/I/U/U/U/U/,57,67
girlsinc-2017-BlueBraid,dotogether-e,REFERENCE,1/2/3/4/6/8/7/5/9/,1/2/3/4/5/8/7/6/9/,C/C/C/C/I/U/U/U/U/,68,76
girlsinc-2017-BlueBraid,dotogether-e,PUZZLE,1/2/3/4/5/8/7/6/9/,1/2/3/4/5/8/7/6/9/,C/C/C/C/C/C/C/C/C/,78,88
girlsinc-2017-BlueBraid,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",1,9,0,90
girlsinc-2017-BlueBraid,dotogether-c,PUZZLE,1/2/4/3/5/6/7/,1/2/3/4/5/6/7/,C/C/I/U/U/U/U/,26,31
girlsinc-2017-BlueBraid,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/I/I/,34,39
girlsinc-2017-BlueBraid,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,47,54
girlsinc-2017-BlueBraid,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",2,7,0,56
girlsinc-2017-BlueBraid,dotogether-i,REFERENCE,-1/-1/2/3/-1/1/4/-1/-1/-1/,-1/-1/2/3/4/1/5/-1/-1/-1/,I/U/U/U/U/U/U/U/U/U/,23,26
girlsinc-2017-BlueBraid,dotogether-i,REFERENCE,-1/-1/2/3/4/1/5/-1/-1/-1/,1/6/3/4/5/2/7/8/-1/-1/,I/U/U/U/U/U/U/U/U/U/,31,37
girlsinc-2017-BlueBraid,dotogether-i,PUZZLE,1/6/3/4/5/2/7/8/-1/-1/,1/6/3/4/5/2/7/8/9/10/,C/C/C/C/C/C/C/C/I/U/,52,57
girlsinc-2017-BlueBraid,dotogether-i,PUZZLE,1/6/3/4/5/2/7/8/9/10/,1/6/3/4/5/2/7/8/9/10/,C/C/C/C/C/C/C/C/C/C/,64,72
girlsinc-2017-BlueBraid,dotogether-i,END,"    this.tiny yeti.turnToFace(this.big yeti) /
    do together / {
      this.tiny yeti.nod() /
      this.big yeti.nod() /
    }
    this.tiny yeti.move(TypeExpression.BACKWARD, 0.5) /
    do together / {
      this.tiny yeti.jump to hammer() /
      this.big yeti.prepare to swing hammer() /
    }
    this.big yeti.power swing() /
    this.tiny yeti.fly away() /",5,10,0,74
girlsinc-2017-BlueBraid,dotogether-f,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/I/U/U/U/U/,22,25
girlsinc-2017-BlueBraid,dotogether-f,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/3/-1/4/-1/-1/,C/C/I/I/U/U/U/U/,26,31
girlsinc-2017-BlueBraid,dotogether-f,PUZZLE,1/2/-1/3/-1/4/-1/-1/,1/2/4/3/-1/-1/-1/-1/,C/C/C/I/I/U/U/U/,37,41
girlsinc-2017-BlueBraid,dotogether-f,PUZZLE,1/2/4/3/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/,47,51
girlsinc-2017-BlueBraid,dotogether-f,REFERENCE,1/2/4/3/-1/-1/-1/-1/,1/2/4/3/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,59,64
girlsinc-2017-BlueBraid,dotogether-f,PUZZLE,1/2/4/3/-1/5/-1/-1/,1/2/4/3/5/-1/-1/-1/,C/C/C/C/I/U/U/U/,67,72
girlsinc-2017-BlueBraid,dotogether-f,PUZZLE,1/2/4/3/5/-1/-1/-1/,1/2/4/3/5/-1/-1/-1/,C/C/C/C/C/I/I/I/,81,86
girlsinc-2017-BlueBraid,dotogether-f,REFERENCE,1/2/4/3/5/-1/-1/-1/,1/2/4/3/5/6/8/7/,C/C/C/C/C/I/I/I/,89,94
girlsinc-2017-BlueBraid,dotogether-f,PUZZLE,1/2/4/3/5/6/8/7/,1/2/4/3/5/6/8/7/,C/C/C/C/C/C/C/C/,101,109
girlsinc-2017-BlueBraid,dotogether-f,END,"    this.Witch.say(I will turn you to stone!) /
    do together / {
      this.Ogre.move(TypeExpression.DOWN, 0.375) /
      this.Ogre.bend knees() /
    }
    do together / {
      this.Witch.cast spell() /
      this.Ogre.getRightShoulder().turn(TypeExpression.LEFT, 0.25) /
      this.Ogre.setPaint(InstanceCreation) /
    }",2,8,0,111
girlsinc-2017-BlueBraid,dotogether-k,PUZZLE,1/-1/-1/-1/-1/2/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/2/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/U/U/,22,27
girlsinc-2017-BlueBraid,dotogether-k,REFERENCE,1/-1/-1/-1/-1/2/-1/-1/-1/-1/-1/,1/-1/3/4/5/-1/-1/2/-1/-1/-1/,C/I/U/U/U/U/U/U/U/U/U/,29,34
