codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-ProfessorAstounding,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,33,43
girlsinc-2017-ProfessorAstounding,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/5/-1/-1/-1/4/,C/C/I/U/U/U/U/U/,71,83
girlsinc-2017-ProfessorAstounding,sequential-d,REFERENCE,1/2/3/5/-1/-1/-1/4/,1/2/3/5/-1/-1/-1/4/,C/C/C/I/U/U/U/U/,107,123
girlsinc-2017-ProfessorAstounding,sequential-d,PUZZLE,1/2/3/5/-1/-1/-1/4/,1/2/3/4/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,129,143
girlsinc-2017-ProfessorAstounding,sequential-d,REFERENCE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/-1/-1/5/-1/,C/C/C/C/I/U/U/U/,149,164
girlsinc-2017-ProfessorAstounding,sequential-d,PUZZLE,1/2/3/4/-1/-1/5/-1/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,183,196
girlsinc-2017-ProfessorAstounding,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,218,234
girlsinc-2017-ProfessorAstounding,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,241,257
girlsinc-2017-ProfessorAstounding,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",5,8,0,265
girlsinc-2017-ProfessorAstounding,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/7/6/,C/I/U/U/U/U/U/,48,57
girlsinc-2017-ProfessorAstounding,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,89,103
girlsinc-2017-ProfessorAstounding,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,107,121
girlsinc-2017-ProfessorAstounding,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,132
girlsinc-2017-ProfessorAstounding,dotogether-a,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/C/C/C/C/,56,68
girlsinc-2017-ProfessorAstounding,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,72
girlsinc-2017-ProfessorAstounding,dotogether-o,PUZZLE,2/1/3/4/5/6/,1/2/3/4/5/6/,I/U/U/U/U/U/,60,67
girlsinc-2017-ProfessorAstounding,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,72,79
girlsinc-2017-ProfessorAstounding,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",3,6,0,83
girlsinc-2017-ProfessorAstounding,dotogether-n,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/C/C/C/,26,35
girlsinc-2017-ProfessorAstounding,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,39
girlsinc-2017-ProfessorAstounding,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,34,43
girlsinc-2017-ProfessorAstounding,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,47
girlsinc-2017-ProfessorAstounding,dotogether-e,REFERENCE,1/4/2/3/-1/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,29,38
girlsinc-2017-ProfessorAstounding,dotogether-e,REFERENCE,1/2/3/4/-1/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/U/,50,-1
girlsinc-2017-ProfessorAstounding,dotogether-e,REFERENCE,1/2/3/4/-1/-1/-1/-1/-1/,1/2/3/4/5/8/7/6/9/,C/C/C/C/I/U/U/U/U/,61,72
girlsinc-2017-ProfessorAstounding,dotogether-e,PUZZLE,1/2/3/4/5/8/7/6/9/,1/2/3/4/5/8/7/6/9/,C/C/C/C/C/C/C/C/C/,87,98
girlsinc-2017-ProfessorAstounding,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",4,9,0,101
girlsinc-2017-ProfessorAstounding,dotogether-m,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/C/C/C/C/,37,48
girlsinc-2017-ProfessorAstounding,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,51
girlsinc-2017-ProfessorAstounding,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,54,66
girlsinc-2017-ProfessorAstounding,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",2,7,0,69
girlsinc-2017-ProfessorAstounding,dotogether-d,PUZZLE,1/5/3/4/2/7/8/6/,1/5/3/4/2/8/7/6/,C/C/C/C/C/C/C/I/,36,45
girlsinc-2017-ProfessorAstounding,dotogether-d,PUZZLE,1/5/3/4/2/8/7/6/,1/5/3/4/2/8/7/6/,C/C/C/C/C/C/C/C/,55,64
girlsinc-2017-ProfessorAstounding,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",3,8,0,67
girlsinc-2017-ProfessorAstounding,dotogether-i,REFERENCE,1/2/4/3/-1/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/U/U/,40,-1
girlsinc-2017-ProfessorAstounding,dotogether-i,REFERENCE,1/2/4/3/-1/-1/-1/-1/-1/-1/,1/2/4/3/5/6/8/7/9/10/,C/C/C/C/I/U/U/U/U/U/,50,60
girlsinc-2017-ProfessorAstounding,dotogether-i,PUZZLE,1/2/4/3/5/6/8/7/9/10/,1/2/4/3/5/6/8/7/9/10/,C/C/C/C/C/C/C/C/C/C/,77,87
girlsinc-2017-ProfessorAstounding,dotogether-i,END,"    this.tiny yeti.turnToFace(this.big yeti) /
    do together / {
      this.tiny yeti.nod() /
      this.big yeti.nod() /
    }
    this.tiny yeti.move(TypeExpression.BACKWARD, 0.5) /
    do together / {
      this.tiny yeti.jump to hammer() /
      this.big yeti.prepare to swing hammer() /
    }
    this.big yeti.power swing() /
    this.tiny yeti.fly away() /",4,10,0,91
girlsinc-2017-ProfessorAstounding,dotogether-f,REFERENCE,1/-1/-1/2/-1/-1/-1/-1/,1/3/7/2/6/4/5/8/,C/I/U/U/U/U/U/U/,32,41
girlsinc-2017-ProfessorAstounding,dotogether-f,PUZZLE,1/3/7/2/6/4/5/8/,1/5/3/4/2/6/7/8/,C/I/U/U/U/U/U/U/,68,76
girlsinc-2017-ProfessorAstounding,dotogether-f,PUZZLE,1/5/3/4/2/6/7/8/,1/5/3/4/2/6/7/8/,C/C/C/C/C/C/C/I/,100,109
girlsinc-2017-ProfessorAstounding,dotogether-f,PUZZLE,1/5/3/4/2/6/7/8/,1/5/3/4/2/6/7/8/,C/C/C/C/C/C/C/C/,113,122
girlsinc-2017-ProfessorAstounding,dotogether-f,END,"    this.Witch.say(I will turn you to stone!) /
    do together / {
      this.Ogre.move(TypeExpression.DOWN, 0.375) /
      this.Ogre.bend knees() /
    }
    do together / {
      this.Witch.cast spell() /
      this.Ogre.getRightShoulder().turn(TypeExpression.LEFT, 0.25) /
      this.Ogre.setPaint(InstanceCreation) /
    }",6,8,0,126
girlsinc-2017-ProfessorAstounding,dotogether-k,REFERENCE,-1/-1/-1/-1/-1/1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/U/U/,42,-1
