codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-AquaMask,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,19,35
girlsinc-2017-AquaMask,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,43,47
girlsinc-2017-AquaMask,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,52,62
girlsinc-2017-AquaMask,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/-1/-1/5/-1/,C/C/C/C/I/U/U/U/,77,89
girlsinc-2017-AquaMask,sequential-d,PUZZLE,1/2/3/4/-1/-1/5/-1/,1/2/3/4/5/-1/6/-1/,C/C/C/C/I/U/U/U/,99,114
girlsinc-2017-AquaMask,sequential-d,PUZZLE,1/2/3/4/5/-1/6/-1/,1/2/3/4/5/7/6/8/,C/C/C/C/C/I/U/U/,122,131
girlsinc-2017-AquaMask,sequential-d,PUZZLE,1/2/3/4/5/7/6/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/I/U/U/,137,151
girlsinc-2017-AquaMask,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,160,171
girlsinc-2017-AquaMask,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,180
girlsinc-2017-AquaMask,dotogether-b,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/2/-1/-1/-1/,I/U/U/U/U/U/,14,31
girlsinc-2017-AquaMask,dotogether-b,PUZZLE,1/-1/2/-1/-1/-1/,1/-1/3/2/4/5/,C/I/U/U/U/U/,44,47
girlsinc-2017-AquaMask,dotogether-b,PUZZLE,1/-1/3/2/4/5/,2/1/4/3/5/6/,C/I/U/U/U/U/,58,67
