codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-BrownBear,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/-1/2/3/4/-1/-1/,C/I/U/U/U/U/U/,82,91
girlscouts-data-BrownBear,sequential-g,REFERENCE,1/-1/2/3/4/-1/-1/,1/2/3/4/5/-1/-1/,C/I/U/U/U/U/U/,119,131
girlscouts-data-BrownBear,sequential-g,REFERENCE,1/2/3/4/5/-1/-1/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,141,152
girlscouts-data-BrownBear,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,166,180
girlscouts-data-BrownBear,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,187
girlscouts-data-BrownBear,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,31,50
girlscouts-data-BrownBear,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,56,61
girlscouts-data-BrownBear,sequential-d,REFERENCE,-1/-1/1/-1/-1/-1/-1/-1/,-1/2/1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,69,75
girlscouts-data-BrownBear,sequential-d,REFERENCE,-1/2/1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,89,99
girlscouts-data-BrownBear,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/5/-1/4/,C/C/C/I/U/U/U/U/,130,142
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/-1/-1/5/-1/4/,1/2/3/-1/-1/5/-1/4/,C/C/C/I/U/U/U/U/,156,167
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/-1/-1/5/-1/4/,1/2/3/-1/-1/5/-1/4/,C/C/C/I/U/U/U/U/,180,183
girlscouts-data-BrownBear,sequential-d,REFERENCE,1/2/3/-1/-1/5/-1/4/,1/2/3/-1/-1/5/-1/4/,C/C/C/I/U/U/U/U/,185,-1
girlscouts-data-BrownBear,sequential-d,REFERENCE,1/2/3/-1/-1/5/-1/4/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,210,213
girlscouts-data-BrownBear,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/4/,C/C/C/I/U/U/U/U/,229,251
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/4/,1/2/3/-1/-1/-1/4/-1/,C/C/C/I/U/U/U/U/,258,270
girlscouts-data-BrownBear,sequential-d,REFERENCE,1/2/3/-1/-1/-1/4/-1/,1/2/3/-1/-1/-1/4/-1/,C/C/C/I/U/U/U/U/,278,281
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/-1/-1/-1/4/-1/,1/2/3/4/-1/-1/5/-1/,C/C/C/I/U/U/U/U/,283,295
girlscouts-data-BrownBear,sequential-d,REFERENCE,1/2/3/4/-1/-1/5/-1/,1/2/3/4/-1/-1/5/-1/,C/C/C/C/I/U/U/U/,305,311
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/4/-1/-1/5/-1/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,312,325
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/4/-1/5/6/7/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,335,352
girlscouts-data-BrownBear,sequential-d,REFERENCE,1/2/3/4/-1/5/6/7/,1/2/3/4/5/6/-1/7/,C/C/C/C/I/U/U/U/,355,370
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/4/5/6/-1/7/,1/2/3/4/-1/6/5/7/,C/C/C/C/C/C/I/U/,397,413
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/4/-1/6/5/7/,1/2/3/4/-1/6/5/7/,C/C/C/C/I/U/U/U/,423,436
girlscouts-data-BrownBear,sequential-d,REFERENCE,1/2/3/4/-1/6/5/7/,1/2/3/4/8/6/5/7/,C/C/C/C/I/U/U/U/,448,461
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/4/8/6/5/7/,1/2/3/4/5/6/8/7/,C/C/C/C/I/U/U/U/,474,489
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,509,524
girlscouts-data-BrownBear,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,528,543
