codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-AcuteTriangle,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,118,133
girlscouts-data-AcuteTriangle,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,139
girlscouts-data-AcuteTriangle,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/7/6/,I/U/U/U/U/U/U/,15,32
girlscouts-data-AcuteTriangle,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,110,123
girlscouts-data-AcuteTriangle,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,132,145
girlscouts-data-AcuteTriangle,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,150
girlscouts-data-AcuteTriangle,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,4/-1/1/2/3/-1/,I/U/U/U/U/U/,20,25
girlscouts-data-AcuteTriangle,dotogether-o,REFERENCE,4/-1/1/2/3/-1/,4/-1/1/2/3/5/,I/U/U/U/U/U/,42,50
girlscouts-data-AcuteTriangle,dotogether-o,PUZZLE,4/-1/1/2/3/5/,4/-1/1/2/3/5/,I/U/U/U/U/U/,54,59
girlscouts-data-AcuteTriangle,dotogether-o,REFERENCE,4/-1/1/2/3/5/,4/-1/1/2/3/5/,I/U/U/U/U/U/,60,64
