codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-RedPanda,sequential-c,PUZZLE,1/2/3/-1/-1/-1/,1/2/3/4/5/6/,C/C/C/I/U/U/,65,73
compton-drew-data-RedPanda,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,95,108
compton-drew-data-RedPanda,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,115
compton-drew-data-RedPanda,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,41,54
compton-drew-data-RedPanda,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,6,0,60
compton-drew-data-RedPanda,sequential-d,PUZZLE,1/2/3/6/5/4/7/8/,1/2/3/-1/4/-1/-1/-1/,C/C/C/I/U/U/U/U/,77,95
compton-drew-data-RedPanda,sequential-d,PUZZLE,1/2/3/-1/4/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,116,128
compton-drew-data-RedPanda,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/5/-1/-1/-1/,C/C/C/C/I/U/U/U/,137,152
compton-drew-data-RedPanda,sequential-d,PUZZLE,1/2/3/4/5/-1/-1/-1/,1/2/3/4/5/6/-1/-1/,C/C/C/C/C/I/U/U/,159,173
compton-drew-data-RedPanda,sequential-d,PUZZLE,1/2/3/4/5/6/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,181,195
compton-drew-data-RedPanda,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,200,216
compton-drew-data-RedPanda,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.open slightly() /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",5,8,0,226
compton-drew-data-RedPanda,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,39,47
compton-drew-data-RedPanda,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,52
compton-drew-data-RedPanda,dotogether-a,PUZZLE,1/3/2/4/5/6/-1/-1/,1/3/2/4/5/6/-1/-1/,C/I/U/U/U/U/U/U/,66,-1
compton-drew-data-RedPanda,dotogether-a,REFERENCE,1/3/2/4/5/6/-1/-1/,1/2/3/4/6/7/5/8/,C/I/U/U/U/U/U/U/,77,88
compton-drew-data-RedPanda,dotogether-a,PUZZLE,1/2/3/4/6/7/5/8/,1/2/3/4/6/7/5/8/,C/C/C/C/C/C/C/C/,114,122
compton-drew-data-RedPanda,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",3,8,0,127
