codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-MagicPotion,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,107,126
girlscouts-data-MagicPotion,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,141
girlscouts-data-MagicPotion,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,75,87
girlscouts-data-MagicPotion,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",3,6,0,92
girlscouts-data-MagicPotion,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,85,94
girlscouts-data-MagicPotion,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",2,6,0,100
girlscouts-data-MagicPotion,dotogether-m,PUZZLE,1/5/4/3/8/2/7/6/,1/5/4/3/8/2/7/6/,C/C/C/C/I/U/U/U/,129,-1
girlscouts-data-MagicPotion,dotogether-m,REFERENCE,1/5/4/3/8/2/7/6/,1/6/4/3/5/2/7/8/,C/C/C/C/I/U/U/U/,146,159
girlscouts-data-MagicPotion,dotogether-m,PUZZLE,1/6/4/3/5/2/7/8/,1/6/4/3/5/2/7/8/,C/C/C/C/C/C/C/C/,178,193
girlscouts-data-MagicPotion,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",5,8,0,206
girlscouts-data-MagicPotion,dotogether-n,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/C/C/C/,54,64
girlscouts-data-MagicPotion,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",4,6,0,68
girlscouts-data-MagicPotion,dotogether-a,PUZZLE,1/3/2/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/I/U/U/U/U/U/U/,101,109
girlscouts-data-MagicPotion,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,1956,1965
