codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-VelvetPrancer,sequential-d,PUZZLE,-1/-1/1/-1/-1/-1/-1/-1/,-1/-1/1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,21,41
girlsinc-2017-VelvetPrancer,sequential-d,REFERENCE,-1/-1/1/-1/-1/-1/-1/-1/,-1/-1/1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,49,-1
girlsinc-2017-VelvetPrancer,sequential-d,REFERENCE,-1/-1/1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,54,58
girlsinc-2017-VelvetPrancer,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,68,73
girlsinc-2017-VelvetPrancer,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,83,90
girlsinc-2017-VelvetPrancer,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,93,98
girlsinc-2017-VelvetPrancer,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,111,120
girlsinc-2017-VelvetPrancer,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,121,-1
girlsinc-2017-VelvetPrancer,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/I/U/U/U/U/,140,153
girlsinc-2017-VelvetPrancer,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,166,-1
girlsinc-2017-VelvetPrancer,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,179,-1
girlsinc-2017-VelvetPrancer,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,193,-1
girlsinc-2017-VelvetPrancer,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/5/-1/-1/-1/,C/C/C/C/I/U/U/U/,219,229
girlsinc-2017-VelvetPrancer,sequential-d,PUZZLE,1/2/3/4/5/-1/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/I/U/U/,248,259
girlsinc-2017-VelvetPrancer,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,267,283
girlsinc-2017-VelvetPrancer,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",2,8,0,291
girlsinc-2017-VelvetPrancer,sequential-c,PUZZLE,1/2/3/-1/-1/-1/,1/2/3/-1/-1/-1/,C/C/C/I/U/U/,47,-1
girlsinc-2017-VelvetPrancer,sequential-c,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/5/4/6/,C/C/C/I/U/U/,53,61
girlsinc-2017-VelvetPrancer,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,78,87
girlsinc-2017-VelvetPrancer,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,91,100
girlsinc-2017-VelvetPrancer,sequential-c,REFERENCE,1/2/3/-1/4/-1/,1/2/3/5/4/-1/,C/C/C/I/U/U/,109,123
girlsinc-2017-VelvetPrancer,sequential-c,PUZZLE,1/2/3/5/4/-1/,1/2/3/4/5/-1/,C/C/C/I/U/U/,128,133
girlsinc-2017-VelvetPrancer,sequential-c,PUZZLE,1/2/3/4/5/-1/,1/2/3/4/5/6/,C/C/C/C/C/I/,136,145
girlsinc-2017-VelvetPrancer,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,148,156
girlsinc-2017-VelvetPrancer,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,162
girlsinc-2017-VelvetPrancer,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/,36,43
girlsinc-2017-VelvetPrancer,sequential-g,REFERENCE,1/2/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,C/C/I/U/U/U/U/,53,61
girlsinc-2017-VelvetPrancer,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/7/6/,C/C/C/I/U/U/U/,72,80
girlsinc-2017-VelvetPrancer,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,93,106
girlsinc-2017-VelvetPrancer,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,115,128
girlsinc-2017-VelvetPrancer,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,131
girlsinc-2017-VelvetPrancer,dotogether-a,REFERENCE,1/-1/-1/2/3/4/5/-1/,1/2/3/5/6/7/8/4/,C/I/U/U/U/U/U/U/,70,73
girlsinc-2017-VelvetPrancer,dotogether-a,REFERENCE,1/2/3/5/6/7/8/4/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,87,95
girlsinc-2017-VelvetPrancer,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,99,108
girlsinc-2017-VelvetPrancer,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,114
