codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-BananaBubble,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,I/U/U/U/U/U/U/,50,56
carr-lane-1-BananaBubble,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,104,119
carr-lane-1-BananaBubble,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,214,230
carr-lane-1-BananaBubble,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,7,0,238
carr-lane-1-BananaBubble,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,14,27
carr-lane-1-BananaBubble,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,C/I/U/U/U/U/,45,57
carr-lane-1-BananaBubble,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,120,131
carr-lane-1-BananaBubble,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",1,6,0,136
carr-lane-1-BananaBubble,dotogether-a,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/-1/,C/C/I/U/U/U/U/U/,44,51
carr-lane-1-BananaBubble,dotogether-a,REFERENCE,1/2/3/4/5/6/7/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/I/,117,122
carr-lane-1-BananaBubble,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,131,142
carr-lane-1-BananaBubble,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,146
carr-lane-1-BananaBubble,dotogether-b,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,17,25
carr-lane-1-BananaBubble,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,93,100
carr-lane-1-BananaBubble,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,104
carr-lane-1-BananaBubble,dotogether-m,REFERENCE,1/2/4/3/8/5/7/6/,1/2/4/3/5/6/8/7/,C/C/C/C/I/U/U/U/,91,101
carr-lane-1-BananaBubble,dotogether-m,PUZZLE,1/2/4/3/5/6/8/7/,1/2/4/3/5/6/8/7/,C/C/C/C/C/C/C/C/,107,119
carr-lane-1-BananaBubble,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,122
carr-lane-1-BananaBubble,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,63,75
carr-lane-1-BananaBubble,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,79
carr-lane-1-BananaBubble,dotogether-e,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/-1/,1/5/4/3/2/8/9/7/6/,C/I/U/U/U/U/U/U/U/,47,57
carr-lane-1-BananaBubble,dotogether-e,REFERENCE,1/5/4/3/2/8/9/7/6/,1/5/4/3/2/8/9/7/6/,C/C/C/C/C/C/C/C/C/,115,126
carr-lane-1-BananaBubble,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",2,9,0,134
carr-lane-1-BananaBubble,dotogether-o,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/4/-1/-1/,C/I/U/U/U/U/,19,26
carr-lane-1-BananaBubble,dotogether-o,REFERENCE,1/2/3/4/-1/-1/,1/2/3/4/5/6/,C/C/C/C/I/U/,53,59
carr-lane-1-BananaBubble,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,69,77
carr-lane-1-BananaBubble,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",1,6,0,81
carr-lane-1-BananaBubble,dotogether-d,PUZZLE,1/5/4/3/2/6/7/8/,1/5/4/3/2/6/7/8/,C/C/C/C/C/C/C/C/,79,88
carr-lane-1-BananaBubble,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",1,8,0,91
carr-lane-1-BananaBubble,dotogether-c,REFERENCE,1/2/3/6/5/4/7/,1/2/3/6/5/4/7/,C/C/C/I/C/C/U/,56,-1
carr-lane-1-BananaBubble,dotogether-c,PUZZLE,1/2/3/6/5/4/7/,1/2/3/6/5/4/7/,C/C/C/I/C/C/U/,64,71
carr-lane-1-BananaBubble,dotogether-c,PUZZLE,1/2/3/6/5/4/7/,1/2/3/5/4/6/7/,C/C/C/I/C/C/I/,76,84
carr-lane-1-BananaBubble,dotogether-c,PUZZLE,1/2/3/5/4/6/7/,1/2/3/5/4/6/7/,C/C/C/C/C/C/C/,100,107
carr-lane-1-BananaBubble,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",1,7,0,110
carr-lane-1-BananaBubble,dotogether-l,PUZZLE,1/2/3/6/5/4/7/,1/2/3/6/5/4/7/,C/C/C/C/C/C/C/,54,61
carr-lane-1-BananaBubble,dotogether-l,END,"    this.cheshireCat.say(Okay Alice, your turn now.) /
    this.alice.move(TypeExpression.BACKWARD, 1.0) /
    do together / {
      this.alice.move legs() /
      this.alice.move(TypeExpression.UP, 1.0) /
      this.alice.moveToward(this.cheshireCat, 3.0) /
    }
    this.alice.say(I'm stuck!) /",1,7,0,65
carr-lane-1-BananaBubble,dotogether-j,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/3/4/-1/-1/2/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/U/U/,38,42
carr-lane-1-BananaBubble,dotogether-j,REFERENCE,1/-1/3/4/-1/-1/2/-1/-1/-1/-1/,1/7/3/4/5/6/2/9/8/10/11/,C/C/C/C/I/U/U/U/U/U/U/,66,82
carr-lane-1-BananaBubble,dotogether-j,PUZZLE,1/7/3/4/5/6/2/9/8/10/11/,1/7/3/4/5/6/2/9/8/10/11/,C/C/C/C/C/C/C/C/C/C/C/,163,175
carr-lane-1-BananaBubble,dotogether-j,END,"    this.fox.jump out of snow() /
    do together / {
      this.snow man.skate around() /
      this.snow gal.skate around() /
    }
    this.fox.wag tail() /
    this.fox.jump on(this.snow man) /
    do together / {
      this.snow gal.twirl around() /
      this.snow gal.raise up and lower down() /
      this.snow man.skate around() /
    }
    this.fox.dive into snow() /",2,11,0,180
carr-lane-1-BananaBubble,dotogether-i,REFERENCE,1/2/4/3/6/5/-1/-1/-1/-1/,1/2/4/3/5/6/7/8/9/10/,C/C/C/C/I/U/U/U/U/U/,73,85
carr-lane-1-BananaBubble,dotogether-i,PUZZLE,1/2/4/3/5/6/7/8/9/10/,1/2/4/3/5/6/7/8/9/10/,C/C/C/C/C/C/C/C/C/C/,122,127
carr-lane-1-BananaBubble,dotogether-i,END,"    this.tiny yeti.turnToFace(this.big yeti) /
    do together / {
      this.tiny yeti.nod() /
      this.big yeti.nod() /
    }
    this.tiny yeti.move(TypeExpression.BACKWARD, 0.5) /
    do together / {
      this.tiny yeti.jump to hammer() /
      this.big yeti.prepare to swing hammer() /
    }
    this.big yeti.power swing() /
    this.tiny yeti.fly away() /",1,10,0,132
carr-lane-1-BananaBubble,dotogether-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,2/4/3/6/5/1/-1/7/8/,I/U/U/U/U/U/U/U/U/,34,38
carr-lane-1-BananaBubble,dotogether-g,PUZZLE,2/4/3/6/5/1/-1/7/8/,2/4/3/6/5/1/-1/7/8/,I/U/U/U/U/U/U/U/U/,134,-1
carr-lane-1-BananaBubble,dotogether-g,REFERENCE,2/4/3/6/5/1/-1/7/8/,2/4/3/6/5/1/-1/7/8/,I/U/U/U/U/U/U/U/U/,148,-1
carr-lane-1-BananaBubble,dotogether-g,REFERENCE,2/4/3/6/5/1/-1/7/8/,1/3/2/6/5/4/-1/7/8/,I/U/U/U/U/U/U/U/U/,153,161
carr-lane-1-BananaBubble,dotogether-g,REFERENCE,1/3/2/6/5/4/-1/7/8/,1/3/2/6/5/4/-1/7/8/,C/C/C/I/I/U/U/U/U/,171,-1
carr-lane-1-BananaBubble,dotogether-g,REFERENCE,1/3/2/6/5/4/-1/7/8/,1/3/2/4/6/5/7/8/9/,C/C/C/I/I/U/U/U/U/,178,181
carr-lane-1-BananaBubble,dotogether-g,PUZZLE,1/3/2/4/6/5/7/8/9/,1/3/2/4/6/5/7/8/9/,C/C/C/C/C/C/C/C/C/,214,218
