codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-SpringBreeze,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/7/6/,C/C/C/C/C/I/U/,104,125
girlscouts-data-SpringBreeze,sequential-g,REFERENCE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,128,145
girlscouts-data-SpringBreeze,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,161,179
girlscouts-data-SpringBreeze,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,195
girlscouts-data-SpringBreeze,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,112,124
girlscouts-data-SpringBreeze,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,137
girlscouts-data-SpringBreeze,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/2/3/4/5/,I/U/U/U/U/U/,50,61
girlscouts-data-SpringBreeze,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,96,-1
girlscouts-data-SpringBreeze,dotogether-o,REFERENCE,1/-1/2/3/4/5/,2/1/3/4/5/6/,C/I/U/U/U/U/,107,116
girlscouts-data-SpringBreeze,dotogether-o,PUZZLE,2/1/3/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,132,-1
girlscouts-data-SpringBreeze,dotogether-o,REFERENCE,2/1/3/4/5/6/,1/-1/2/3/4/5/,I/U/U/U/U/U/,139,149
girlscouts-data-SpringBreeze,dotogether-o,REFERENCE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,175,-1
girlscouts-data-SpringBreeze,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,184,-1
girlscouts-data-SpringBreeze,dotogether-o,REFERENCE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,194,-1
girlscouts-data-SpringBreeze,dotogether-o,REFERENCE,1/-1/2/3/4/5/,-1/-1/1/2/3/4/,C/I/U/U/U/U/,206,213
girlscouts-data-SpringBreeze,dotogether-o,PUZZLE,-1/-1/1/2/3/4/,2/-1/1/3/4/5/,I/U/U/U/U/U/,221,237
girlscouts-data-SpringBreeze,dotogether-o,PUZZLE,2/-1/1/3/4/5/,1/-1/-1/2/3/4/,I/U/U/U/U/U/,247,251
girlscouts-data-SpringBreeze,dotogether-o,PUZZLE,1/-1/-1/2/3/4/,1/-1/-1/2/3/4/,C/I/U/U/U/U/,260,268
girlscouts-data-SpringBreeze,dotogether-o,REFERENCE,1/-1/-1/2/3/4/,1/2/3/4/5/6/,C/I/U/U/U/U/,280,288
