codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-BurningMagma,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,39,60
girlscouts-data-BurningMagma,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,118,131
girlscouts-data-BurningMagma,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,164
girlscouts-data-BurningMagma,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,1948,1967
girlscouts-data-BurningMagma,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,1978
girlscouts-data-BurningMagma,dotogether-a,PUZZLE,1/2/3/-1/4/5/6/7/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,85,-1
girlscouts-data-BurningMagma,dotogether-a,REFERENCE,1/2/3/-1/4/5/6/7/,1/2/3/4/5/7/6/8/,C/C/C/I/U/U/U/U/,98,111
girlscouts-data-BurningMagma,dotogether-a,PUZZLE,1/2/3/4/5/7/6/8/,1/2/3/4/5/7/6/8/,C/C/C/C/C/C/C/C/,163,174
girlscouts-data-BurningMagma,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",5,8,0,186
girlscouts-data-BurningMagma,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,85,97
girlscouts-data-BurningMagma,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",3,6,0,112
girlscouts-data-BurningMagma,dotogether-m,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,112,125
girlscouts-data-BurningMagma,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",3,8,0,134
girlscouts-data-BurningMagma,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,69,81
girlscouts-data-BurningMagma,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",2,6,0,90
girlscouts-data-BurningMagma,dotogether-e,REFERENCE,1/2/3/4/5/-1/-1/-1/-1/,1/2/3/4/6/9/8/5/7/,C/C/C/C/C/I/I/I/I/,85,98
girlscouts-data-BurningMagma,dotogether-e,PUZZLE,1/2/3/4/6/9/8/5/7/,1/2/3/4/6/8/7/9/5/,C/C/C/C/I/U/U/U/U/,136,156
